Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
09/18/2026,ProShares Short QQQ,PSQ,25.7113,25.8671,-0.60231,-0.1558,30472.18,783479335.9227
09/17/2026,ProShares Short QQQ,PSQ,25.8671,26.3146,-1.70058,-0.4475,31422.18,812800646.4109
09/16/2026,ProShares Short QQQ,PSQ,26.3146,26.3193,-0.01786,-0.0047,31222.18,821599151.5134
09/15/2026,ProShares Short QQQ,PSQ,26.3193,26.1494,0.64973,0.1699,30672.18,807270280.7547
09/14/2026,ProShares Short QQQ,PSQ,26.1494,25.9335,0.83251,0.2159,30422.18,795521727.5426
09/11/2026,ProShares Short QQQ,PSQ,25.9335,26.1572,-0.85521,-0.2237,29472.18,764316754.0965
09/10/2026,ProShares Short QQQ,PSQ,26.1572,25.8779,1.07930,0.2793,29522.18,772217540.5388
09/09/2026,ProShares Short QQQ,PSQ,25.8779,25.7944,0.32371,0.0835,24722.18,639758075.9441
09/08/2026,ProShares Short QQQ,PSQ,25.7944,25.7628,0.12266,0.0316,25522.18,658329293.9976
09/04/2026,ProShares Short QQQ,PSQ,25.7628,25.7976,-0.13490,-0.0348,25422.18,654946513.1412
09/03/2026,ProShares Short QQQ,PSQ,25.7976,26.0976,-1.14953,-0.3,25622.18,660990724.9704
09/02/2026,ProShares Short QQQ,PSQ,26.0976,26.1519,-0.20763,-0.0543,24922.18,650409058.6704
09/01/2026,ProShares Short QQQ,PSQ,26.1519,25.815,1.30506,0.3369,24522.18,641301572.9901
08/31/2026,ProShares Short QQQ,PSQ,25.815,25.8349,-0.07703,-0.0199,24622.18,635621550.885
08/28/2026,ProShares Short QQQ,PSQ,25.8349,25.6405,0.75818,0.1944,24622.18,636111532.2471
08/27/2026,ProShares Short QQQ,PSQ,25.6405,26.0081,-1.41341,-0.3676,24822.18,636453080.6495
08/26/2026,ProShares Short QQQ,PSQ,26.0081,26.0161,-0.03075,-0.008,24672.18,641676498.6499
08/25/2026,ProShares Short QQQ,PSQ,26.0161,26.1782,-0.61922,-0.1621,24772.18,644475486.0819
08/24/2026,ProShares Short QQQ,PSQ,26.1782,25.9211,0.99186,0.2571,24572.18,643255416.2978
08/21/2026,ProShares Short QQQ,PSQ,25.9211,25.9969,-0.29157,-0.0758,23122.18,599352314.0769
08/20/2026,ProShares Short QQQ,PSQ,25.9969,25.8074,0.73429,0.1895,23172.18,602404820.2451
08/19/2026,ProShares Short QQQ,PSQ,25.8074,25.7471,0.23420,0.0603,23172.18,598013692.3246
08/18/2026,ProShares Short QQQ,PSQ,25.7471,25.3158,1.70368,0.4313,23522.18,605627894.9309
