Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
09/18/2026,ProShares UltraShort QQQ,QID,14.0746,14.2504,-1.23365,-0.1758,16798.9,236437840.1638
09/17/2026,ProShares UltraShort QQQ,QID,14.2504,14.7549,-3.41920,-0.5045,17098.9,243666207.3112
09/16/2026,ProShares UltraShort QQQ,QID,14.7549,14.7602,-0.03591,-0.0053,16948.9,250079368.8747
09/15/2026,ProShares UltraShort QQQ,QID,14.7602,14.5704,1.30264,0.1898,16948.9,250169198.0606
09/14/2026,ProShares UltraShort QQQ,QID,14.5704,14.3324,1.66057,0.238,15648.9,228010776.2712
09/11/2026,ProShares UltraShort QQQ,QID,14.3324,14.5855,-1.73529,-0.2531,14998.9,214970277.3572
09/10/2026,ProShares UltraShort QQQ,QID,14.5855,14.2774,2.15796,0.3081,16248.9,236998374.7065
09/09/2026,ProShares UltraShort QQQ,QID,14.2774,14.1884,0.62727,0.089,16598.9,236989177.6922
09/08/2026,ProShares UltraShort QQQ,QID,14.1884,14.1527,0.25225,0.0357,18198.9,258213315.3252
09/04/2026,ProShares UltraShort QQQ,QID,14.1527,14.1971,-0.31274,-0.0444,16198.9,229258214.4881
09/03/2026,ProShares UltraShort QQQ,QID,14.1971,14.5329,-2.31062,-0.3358,16648.9,236366140.7813
09/02/2026,ProShares UltraShort QQQ,QID,14.5329,14.5948,-0.42412,-0.0619,18348.9,266662772.4087
09/01/2026,ProShares UltraShort QQQ,QID,14.5948,14.2244,2.60398,0.3704,19698.9,287501549.5044
08/31/2026,ProShares UltraShort QQQ,QID,14.2244,14.2453,-0.14672,-0.0209,21198.9,301541675.8332
08/28/2026,ProShares UltraShort QQQ,QID,14.2453,14.0362,1.48972,0.2091,19148.9,272781867.9059
08/27/2026,ProShares UltraShort QQQ,QID,14.0362,14.4449,-2.82937,-0.4087,18898.9,265268782.2886
08/26/2026,ProShares UltraShort QQQ,QID,14.4449,14.455,-0.06987,-0.0101,15548.9,224602348.9447
08/25/2026,ProShares UltraShort QQQ,QID,14.455,14.638,-1.25017,-0.183,15548.9,224759392.865
08/24/2026,ProShares UltraShort QQQ,QID,14.638,14.354,1.97854,0.284,15948.9,233460042.114
08/21/2026,ProShares UltraShort QQQ,QID,14.354,14.44,-0.59557,-0.086,14898.9,213858853.662
08/20/2026,ProShares UltraShort QQQ,QID,14.44,14.2328,1.45579,0.2072,15148.9,218750159.32
08/19/2026,ProShares UltraShort QQQ,QID,14.2328,14.1671,0.46375,0.0657,15298.9,217746226.6184
08/18/2026,ProShares UltraShort QQQ,QID,14.1671,13.7014,3.39892,0.4657,16848.9,238700093.6913
08/17/2026,ProShares UltraShort QQQ,QID,13.7014,13.6513,0.36700,0.0501,17098.9,234278909.5642
08/14/2026,ProShares UltraShort QQQ,QID,13.6513,13.6052,0.33884,0.0461,16648.9,227279169.5239
08/13/2026,ProShares UltraShort QQQ,QID,13.6052,13.9209,-2.26781,-0.3157,17948.9,244198415.0956
08/12/2026,ProShares UltraShort QQQ,QID,13.9209,14.1261,-1.45263,-0.2052,17798.9,247776748.7727
08/11/2026,ProShares UltraShort QQQ,QID,14.1261,14.029,0.69214,0.0971,17348.9,245072338.6683
08/10/2026,ProShares UltraShort QQQ,QID,14.029,13.9338,0.68323,0.0952,17098.9,239880510.187
08/07/2026,ProShares UltraShort QQQ,QID,13.9338,14.2622,-2.30259,-0.3284,16798.9,234072554.6214
08/06/2026,ProShares UltraShort QQQ,QID,14.2622,14.1446,0.83141,0.1176,17748.9,253138404.3666
08/05/2026,ProShares UltraShort QQQ,QID,14.1446,13.911,1.67925,0.2336,17548.9,248222213.3738
08/04/2026,ProShares UltraShort QQQ,QID,13.911,14.8985,-6.62818,-0.9875,16198.9,225342939.633
08/03/2026,ProShares UltraShort QQQ,QID,14.8985,15.4411,-3.51400,-0.5426,15548.9,231655331.3455
07/31/2026,ProShares UltraShort QQQ,QID,15.4411,15.617,-1.12634,-0.1759,17898.9,276378751.1133
07/30/2026,ProShares UltraShort QQQ,QID,15.617,16.7357,-6.68451,-1.1187,17748.9,277184618.151
