Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
09/18/2026,ProShares Ultra QQQ,QLD,91.1125,89.9635,1.27718,1.149,157300,14331996250
09/17/2026,ProShares Ultra QQQ,QLD,89.9635,86.9664,3.44627,2.9971,156800,14106276800
09/16/2026,ProShares Ultra QQQ,QLD,86.9664,86.934,0.03727,0.0324,156950,13649376480
09/15/2026,ProShares Ultra QQQ,QLD,86.934,88.0894,-1.31162,-1.1554,156850,13635597900
09/14/2026,ProShares Ultra QQQ,QLD,88.0894,89.5687,-1.65158,-1.4793,156850,13816822390
09/11/2026,ProShares Ultra QQQ,QLD,89.5687,88.0096,1.77151,1.5591,157050,14066764335
09/10/2026,ProShares Ultra QQQ,QLD,88.0096,89.9479,-2.15491,-1.9383,157500,13861512000
09/09/2026,ProShares Ultra QQQ,QLD,89.9479,90.4868,-0.59556,-0.5389,157450,14162296855
09/08/2026,ProShares Ultra QQQ,QLD,90.4868,90.7131,-0.24947,-0.2263,157300,14233573640
09/04/2026,ProShares Ultra QQQ,QLD,90.7131,90.371,0.37855,0.3421,156750,14219278425
09/03/2026,ProShares Ultra QQQ,QLD,90.371,88.3115,2.33209,2.0595,156900,14179209900
09/02/2026,ProShares Ultra QQQ,QLD,88.3115,87.9263,0.43809,0.3852,156550,13825165325
09/01/2026,ProShares Ultra QQQ,QLD,87.9263,90.2607,-2.58629,-2.3344,156450,13756069635
08/31/2026,ProShares Ultra QQQ,QLD,90.2607,90.1443,0.12913,0.1164,156450,14121286515
08/28/2026,ProShares Ultra QQQ,QLD,90.1443,91.4369,-1.41365,-1.2926,156200,14080539660
08/27/2026,ProShares Ultra QQQ,QLD,91.4369,88.9333,2.81514,2.5036,155550,14223009795
08/26/2026,ProShares Ultra QQQ,QLD,88.9333,88.8421,0.10265,0.0912,155700,13846914810
08/25/2026,ProShares Ultra QQQ,QLD,88.8421,87.7407,1.25529,1.1014,155700,13832714970
08/24/2026,ProShares Ultra QQQ,QLD,87.7407,89.5045,-1.97063,-1.7638,155550,13648065885
08/21/2026,ProShares Ultra QQQ,QLD,89.5045,88.9376,0.63741,0.5669,155100,13882147950
08/20/2026,ProShares Ultra QQQ,QLD,88.9376,90.2342,-1.43693,-1.2966,155150,13798668640
08/19/2026,ProShares Ultra QQQ,QLD,90.2342,90.6426,-0.45056,-0.4084,155000,13986301000
08/18/2026,ProShares Ultra QQQ,QLD,90.6426,93.8142,-3.38072,-3.1716,154800,14031474480
08/17/2026,ProShares Ultra QQQ,QLD,93.8142,94.1433,-0.34957,-0.3291,154350,14480221770
08/14/2026,ProShares Ultra QQQ,QLD,94.1433,94.4192,-0.29221,-0.2759,154400,14535725520
08/13/2026,ProShares Ultra QQQ,QLD,94.4192,92.3089,2.28613,2.1103,154500,14587766400
08/12/2026,ProShares Ultra QQQ,QLD,92.3089,90.9814,1.45909,1.3275,153850,14201724265
08/11/2026,ProShares Ultra QQQ,QLD,90.9814,91.5976,-0.67273,-0.6162,153850,13997488390
08/10/2026,ProShares Ultra QQQ,QLD,91.5976,92.2128,-0.66715,-0.6152,153650,14073971240
