Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
09/18/2026,ProShares UltraShort S&P500,SDS,55.1533,55.2818,-0.23245,-0.1285,6910.97,381162856.8543
09/17/2026,ProShares UltraShort S&P500,SDS,55.2818,56.5477,-2.23864,-1.2659,7110.97,393107276.6278
09/16/2026,ProShares UltraShort S&P500,SDS,56.5477,56.0419,0.90254,0.5058,7360.97,416245979.8167
09/15/2026,ProShares UltraShort S&P500,SDS,56.0419,55.5543,0.87770,0.4876,7310.97,409720705.6849
09/14/2026,ProShares UltraShort S&P500,SDS,55.5543,55.0162,0.97808,0.5381,7310.97,406155876.2253
09/11/2026,ProShares UltraShort S&P500,SDS,55.0162,55.9328,-1.63875,-0.9166,7060.97,388467792.7302
09/10/2026,ProShares UltraShort S&P500,SDS,55.9328,55.2887,1.16498,0.6441,7310.97,408923078.7488
09/09/2026,ProShares UltraShort S&P500,SDS,55.2887,54.7369,1.00810,0.5518,6810.97,376569732.3277
09/08/2026,ProShares UltraShort S&P500,SDS,54.7369,54.1059,1.16623,0.631,7110.97,389232508.5299
09/04/2026,ProShares UltraShort S&P500,SDS,54.1059,53.6479,0.85371,0.458,6810.97,368513715.8289
09/03/2026,ProShares UltraShort S&P500,SDS,53.6479,54.7952,-2.09380,-1.1473,7060.97,378806266.1109
09/02/2026,ProShares UltraShort S&P500,SDS,54.7952,55.2889,-0.89295,-0.4937,7260.97,397866358.1392
09/01/2026,ProShares UltraShort S&P500,SDS,55.2889,54.5076,1.43338,0.7813,7110.97,393157764.5219
08/31/2026,ProShares UltraShort S&P500,SDS,54.5076,54.1535,0.65388,0.3541,7010.97,382151202.8796
08/28/2026,ProShares UltraShort S&P500,SDS,54.1535,53.833,0.59536,0.3205,6710.97,363422568.0485
08/27/2026,ProShares UltraShort S&P500,SDS,53.833,54.6093,-1.42155,-0.7763,7110.97,382804901.843
08/26/2026,ProShares UltraShort S&P500,SDS,54.6093,54.5691,0.07367,0.0402,7160.97,391055613.6303
08/25/2026,ProShares UltraShort S&P500,SDS,54.5691,54.9092,-0.61939,-0.3401,7210.97,393496197.5961
08/24/2026,ProShares UltraShort S&P500,SDS,54.9092,54.5855,0.59301,0.3237,7010.97,384966808.8332
08/21/2026,ProShares UltraShort S&P500,SDS,54.5855,55.0282,-0.80450,-0.4427,7260.97,396343732.5205
08/20/2026,ProShares UltraShort S&P500,SDS,55.0282,54.0826,1.74844,0.9456,7260.97,399558164.3822
08/19/2026,ProShares UltraShort S&P500,SDS,54.0826,54.3089,-0.41669,-0.2263,7310.97,395396320.2046
08/18/2026,ProShares UltraShort S&P500,SDS,54.3089,53.553,1.41150,0.7559,6810.97,369896342.9419
08/17/2026,ProShares UltraShort S&P500,SDS,53.553,52.9972,1.04873,0.5558,6710.97,359392629.963
08/14/2026,ProShares UltraShort S&P500,SDS,52.9972,52.7813,0.40905,0.2159,6710.97,355662672.2812
08/13/2026,ProShares UltraShort S&P500,SDS,52.7813,53.4668,-1.28210,-0.6855,7010.97,370048163.6423
08/12/2026,ProShares UltraShort S&P500,SDS,53.4668,53.7446,-0.51689,-0.2778,6910.97,369507504.2628
08/11/2026,ProShares UltraShort S&P500,SDS,53.7446,53.3805,0.68208,0.3641,6910.97,371427372.0066
08/10/2026,ProShares UltraShort S&P500,SDS,53.3805,53.3167,0.11966,0.0638,7010.97,374249137.4655
08/07/2026,ProShares UltraShort S&P500,SDS,53.3167,53.9488,-1.17167,-0.6321,6810.97,363138497.5157
08/06/2026,ProShares UltraShort S&P500,SDS,53.9488,53.7282,0.41059,0.2206,6910.97,372838592.2848
08/05/2026,ProShares UltraShort S&P500,SDS,53.7282,53.5317,0.36707,0.1965,6810.97,365941212.0822
08/04/2026,ProShares UltraShort S&P500,SDS,53.5317,55.503,-3.55170,-1.9713,6760.97,361926271.2807
08/03/2026,ProShares UltraShort S&P500,SDS,55.503,57.1833,-2.93845,-1.6803,7110.97,394680223.413
07/31/2026,ProShares UltraShort S&P500,SDS,57.1833,57.9527,-1.32763,-0.7694,6660.97,380896302.9843
07/30/2026,ProShares UltraShort S&P500,SDS,57.9527,59.9315,-3.30177,-1.9788,7310.97,423690509.0717
07/29/2026,ProShares UltraShort S&P500,SDS,59.9315,58.1436,3.07497,1.7879,7360.97,441154033.4865
07/28/2026,ProShares UltraShort S&P500,SDS,58.1436,58.3669,-0.38258,-0.2233,7060.97,410550273.4356
07/27/2026,ProShares UltraShort S&P500,SDS,58.3669,58.3759,-0.01542,-0.009,7360.97,429637058.2599
07/24/2026,ProShares UltraShort S&P500,SDS,58.3759,58.3925,-0.02843,-0.0166,7360.97,429703306.9989
07/23/2026,ProShares UltraShort S&P500,SDS,58.3925,56.9969,2.44855,1.3956,7260.97,423986249.1175
07/22/2026,ProShares UltraShort S&P500,SDS,56.9969,56.8325,0.28927,0.1644,7260.97,413852837.9899
07/21/2026,ProShares UltraShort S&P500,SDS,56.8325,57.8342,-1.73202,-1.0017,7210.97,409817509.3575
07/20/2026,ProShares UltraShort S&P500,SDS,57.8342,57.612,0.38568,0.2222,7060.97,408365609.0082
07/17/2026,ProShares UltraShort S&P500,SDS,57.612,56.417,2.11816,1.195,7110.97,409677261.252
07/16/2026,ProShares UltraShort S&P500,SDS,56.417,55.8342,1.04380,0.5828,6960.97,392717100.907
07/15/2026,ProShares UltraShort S&P500,SDS,55.8342,56.2437,-0.72808,-0.4095,6510.97,363534857.0082
07/14/2026,ProShares UltraShort S&P500,SDS,56.2437,56.6574,-0.73018,-0.4137,6660.97,374637654.6327
07/13/2026,ProShares UltraShort S&P500,SDS,56.6574,55.7648,1.60065,0.8926,6510.97,368894688.3354
07/10/2026,ProShares UltraShort S&P500,SDS,55.7648,56.1943,-0.76431,-0.4295,6360.97,354718275.6208
07/09/2026,ProShares UltraShort S&P500,SDS,56.1943,57.1104,-1.60409,-0.9161,6760.97,379928032.6653
07/08/2026,ProShares UltraShort S&P500,SDS,57.1104,56.7733,0.59377,0.3371,6760.97,386121758.1984
07/07/2026,ProShares UltraShort S&P500,SDS,56.7733,56.2498,0.93067,0.5235,6760.97,383842634.8743
07/06/2026,ProShares UltraShort S&P500,SDS,56.2498,57.0998,-1.48862,-0.85,6810.97,383115756.5558
07/02/2026,ProShares UltraShort S&P500,SDS,57.0998,57.0153,0.14821,0.0845,6760.97,386050091.9058
07/01/2026,ProShares UltraShort S&P500,SDS,57.0153,56.7615,0.44713,0.2538,6760.97,385478789.8563
06/30/2026,ProShares UltraShort S&P500,SDS,56.7615,57.6559,-1.55127,-0.8944,6810.97,386600930.4165
06/29/2026,ProShares UltraShort S&P500,SDS,57.6559,59.0534,-2.36650,-1.3975,7010.97,404223842.8789
06/26/2026,ProShares UltraShort S&P500,SDS,59.0534,58.9295,0.21025,0.1239,6760.97,399258324.8514
06/25/2026,ProShares UltraShort S&P500,SDS,58.9295,58.9019,0.04686,0.0276,6660.97,392527690.5445
06/24/2026,ProShares UltraShort S&P500,SDS,58.9019,59.3834,-0.81083,-0.4815,6660.97,392343847.7449
06/23/2026,ProShares UltraShort S&P500,SDS,59.3834,57.7096,2.90038,1.6738,6510.97,386643595.2814
06/22/2026,ProShares UltraShort S&P500,SDS,57.7096,57.2781,0.75334,0.4315,6660.97,384401972.0216
06/18/2026,ProShares UltraShort S&P500,SDS,57.2781,58.4818,-2.05825,-1.2037,6660.97,381527763.0351
06/17/2026,ProShares UltraShort S&P500,SDS,58.4818,57.0783,2.45890,1.4035,6810.97,398317843.8278
06/16/2026,ProShares UltraShort S&P500,SDS,57.0783,56.4187,1.16912,0.6596,7060.97,403028221.0293
06/15/2026,ProShares UltraShort S&P500,SDS,56.4187,58.371,-3.34464,-1.9523,7110.97,401191739.5577
06/12/2026,ProShares UltraShort S&P500,SDS,58.371,58.9201,-0.93194,-0.5491,7010.97,409237388.241
06/11/2026,ProShares UltraShort S&P500,SDS,58.9201,61.0323,-3.46079,-2.1122,7460.97,439601157.4171
06/10/2026,ProShares UltraShort S&P500,SDS,61.0323,59.1141,3.24491,1.9182,7660.97,467566680.3633
06/09/2026,ProShares UltraShort S&P500,SDS,59.1141,58.7878,0.55505,0.3263,7860.97,464694225.7911
06/08/2026,ProShares UltraShort S&P500,SDS,58.7878,59.1279,-0.57519,-0.3401,7560.97,444492850.9538
06/05/2026,ProShares UltraShort S&P500,SDS,59.1279,56.1228,5.35451,3.0051,7510.97,444107942.1909
06/04/2026,ProShares UltraShort S&P500,SDS,56.1228,56.5781,-0.80473,-0.4553,7410.97,415924443.2388
06/03/2026,ProShares UltraShort S&P500,SDS,56.5781,55.7474,1.49011,0.8307,7610.97,430614278.3351
06/02/2026,ProShares UltraShort S&P500,SDS,55.7474,55.8915,-0.25782,-0.1441,7710.97,429866584.7254
06/01/2026,ProShares UltraShort S&P500,SDS,55.8915,56.1675,-0.49139,-0.276,7860.97,439361460.6465
05/29/2026,ProShares UltraShort S&P500,SDS,56.1675,56.3718,-0.36242,-0.2043,7560.97,424680838.6425
05/28/2026,ProShares UltraShort S&P500,SDS,56.3718,57.0264,-1.14789,-0.6546,7710.97,434681315.0178
05/27/2026,ProShares UltraShort S&P500,SDS,57.0264,57.0172,0.01614,0.0092,7910.97,451134196.6344
05/26/2026,ProShares UltraShort S&P500,SDS,57.0172,57.7212,-1.21966,-0.704,8060.97,459613995.7012
05/22/2026,ProShares UltraShort S&P500,SDS,57.7212,58.0918,-0.63796,-0.3706,8160.97,471061039.2852
05/21/2026,ProShares UltraShort S&P500,SDS,58.0918,58.2858,-0.33284,-0.194,8010.97,465371725.1378
05/20/2026,ProShares UltraShort S&P500,SDS,58.2858,59.5616,-2.14198,-1.2758,8010.97,466925853.5118
