Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
09/18/2026,ProShares UltraPro Short S&P500,SPXU,35.2118,35.3382,-0.35769,-0.1264,11984.22,421985781.737
09/17/2026,ProShares UltraPro Short S&P500,SPXU,35.3382,36.5698,-3.36781,-1.2316,12334.22,435868956.513
09/16/2026,ProShares UltraPro Short S&P500,SPXU,36.5698,36.0803,1.35670,0.4895,11934.22,436431855.707
09/15/2026,ProShares UltraPro Short S&P500,SPXU,36.0803,35.6074,1.32809,0.4729,12134.22,437806117.4645
09/14/2026,ProShares UltraPro Short S&P500,SPXU,35.6074,35.0923,1.46784,0.5151,12134.22,432067847.191
09/11/2026,ProShares UltraPro Short S&P500,SPXU,35.0923,35.9809,-2.46964,-0.8886,12134.22,425817513.0445
09/10/2026,ProShares UltraPro Short S&P500,SPXU,35.9809,35.3621,1.74990,0.6188,12384.22,445595201.4935
09/09/2026,ProShares UltraPro Short S&P500,SPXU,35.3621,34.8421,1.49245,0.52,11784.22,416714589.2515
09/08/2026,ProShares UltraPro Short S&P500,SPXU,34.8421,34.2395,1.75996,0.6026,11584.22,403618377.4515
09/04/2026,ProShares UltraPro Short S&P500,SPXU,34.2395,33.8138,1.25895,0.4257,11334.22,388077854.4925
09/03/2026,ProShares UltraPro Short S&P500,SPXU,33.8138,34.9115,-3.14424,-1.0977,11684.22,395087709.167
09/02/2026,ProShares UltraPro Short S&P500,SPXU,34.9115,35.3864,-1.34204,-0.4749,11484.22,400931171.9725
09/01/2026,ProShares UltraPro Short S&P500,SPXU,35.3864,34.6418,2.14943,0.7446,11234.22,397538425.676
08/31/2026,ProShares UltraPro Short S&P500,SPXU,34.6418,34.3005,0.99503,0.3413,11184.22,387441339.187
08/28/2026,ProShares UltraPro Short S&P500,SPXU,34.3005,34.0039,0.87225,0.2966,10984.22,376764066.6075
08/27/2026,ProShares UltraPro Short S&P500,SPXU,34.0039,34.743,-2.12734,-0.7391,11384.22,387107708.4385
