Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
09/18/2026,ProShares UltraPro Short QQQ,SQQQ,37.7997,38.5186,-1.86637,-0.7189,53851.2,2035559318.0391
09/17/2026,ProShares UltraPro Short QQQ,SQQQ,38.5186,40.6071,-5.14319,-2.0885,55701.2,2145532357.8758
09/16/2026,ProShares UltraPro Short QQQ,SQQQ,40.6071,40.6261,-0.04677,-0.019,53051.2,2154255505.3413
09/15/2026,ProShares UltraPro Short QQQ,SQQQ,40.6261,39.8456,1.95881,0.7805,52051.2,2114637378.1983
09/14/2026,ProShares UltraPro Short QQQ,SQQQ,39.8456,38.8746,2.49777,0.971,52901.2,2107880174.2568
09/11/2026,ProShares UltraPro Short QQQ,SQQQ,38.8746,39.9189,-2.61605,-1.0443,53851.2,2093443976.1438
09/10/2026,ProShares UltraPro Short QQQ,SQQQ,39.9189,38.6652,3.24245,1.2537,52601.2,2099782162.4367
09/09/2026,ProShares UltraPro Short QQQ,SQQQ,38.6652,38.3081,0.93218,0.3571,52251.2,2020303214.2356
09/08/2026,ProShares UltraPro Short QQQ,SQQQ,38.3081,38.1581,0.39310,0.15,52301.2,2003559714.6443
09/04/2026,ProShares UltraPro Short QQQ,SQQQ,38.1581,38.3498,-0.49987,-0.1917,51801.2,1976635484.1943
09/03/2026,ProShares UltraPro Short QQQ,SQQQ,38.3498,39.7274,-3.46763,-1.3776,54701.2,2097780194.8094
09/02/2026,ProShares UltraPro Short QQQ,SQQQ,39.7274,39.9836,-0.64076,-0.2562,51851.2,2059913482.0622
09/01/2026,ProShares UltraPro Short QQQ,SQQQ,39.9836,38.4818,3.90262,1.5018,51151.2,2045209240.2708
08/31/2026,ProShares UltraPro Short QQQ,SQQQ,38.4818,38.5664,-0.21936,-0.0846,51401.2,1978010813.6054
08/28/2026,ProShares UltraPro Short QQQ,SQQQ,38.5664,37.7267,2.22574,0.8397,50301.2,1939936315.3792
08/27/2026,ProShares UltraPro Short QQQ,SQQQ,37.7267,39.3995,-4.24574,-1.6728,50201.2,1893925725.2201
08/26/2026,ProShares UltraPro Short QQQ,SQQQ,39.3995,39.4435,-0.11155,-0.044,48051.2,1893193372.5985
08/25/2026,ProShares UltraPro Short QQQ,SQQQ,39.4435,40.1985,-1.87818,-0.755,49151.2,1938695475.5305
08/24/2026,ProShares UltraPro Short QQQ,SQQQ,40.1985,39.0418,2.96272,1.1567,50401.2,2026052758.7955
08/21/2026,ProShares UltraPro Short QQQ,SQQQ,39.0418,39.3963,-0.89983,-0.3545,50101.2,1956041147.2854
08/20/2026,ProShares UltraPro Short QQQ,SQQQ,39.3963,38.5563,2.17863,0.84,47301.2,1863492383.7489
08/19/2026,ProShares UltraPro Short QQQ,SQQQ,38.5563,38.2901,0.69522,0.2662,47901.2,1846893153.2289
08/18/2026,ProShares UltraPro Short QQQ,SQQQ,38.2901,36.4361,5.08836,1.854,49501.2,1895406012.9903
08/17/2026,ProShares UltraPro Short QQQ,SQQQ,36.4361,36.2387,0.54472,0.1974,52651.2,1918404497.6283
08/14/2026,ProShares UltraPro Short QQQ,SQQQ,36.2387,36.0601,0.49528,0.1786,50001.2,1811978595.1561
08/13/2026,ProShares UltraPro Short QQQ,SQQQ,36.0601,37.332,-3.40700,-1.2719,52951.2,1909425675.3003
08/12/2026,ProShares UltraPro Short QQQ,SQQQ,37.332,38.1635,-2.17878,-0.8315,48951.2,1827446310.396
08/11/2026,ProShares UltraPro Short QQQ,SQQQ,38.1635,37.7745,1.02980,0.389,46951.2,1791822235.6905
08/10/2026,ProShares UltraPro Short QQQ,SQQQ,37.7745,37.3925,1.02160,0.382,47901.2,1809443992.7235
08/07/2026,ProShares UltraPro Short QQQ,SQQQ,37.3925,38.7314,-3.45689,-1.3389,47251.2,1766840608.1775
08/06/2026,ProShares UltraPro Short QQQ,SQQQ,38.7314,38.2616,1.22786,0.4698,46451.2,1799120123.8742
08/05/2026,ProShares UltraPro Short QQQ,SQQQ,38.2616,37.3212,2.51975,0.9404,50001.2,1913126028.7048
08/04/2026,ProShares UltraPro Short QQQ,SQQQ,37.3212,41.4398,-9.93875,-4.1186,49501.2,1847444297.4036
08/03/2026,ProShares UltraPro Short QQQ,SQQQ,41.4398,43.7502,-5.28089,-2.3104,45201.2,1873128812.0794
07/31/2026,ProShares UltraPro Short QQQ,SQQQ,43.7502,44.5079,-1.70239,-0.7577,46501.2,2034436931.4906
07/30/2026,ProShares UltraPro Short QQQ,SQQQ,44.5079,49.4772,-10.04362,-4.9693,45651.2,2031839178.0037
07/29/2026,ProShares UltraPro Short QQQ,SQQQ,49.4772,46.5764,6.22805,2.9008,41801.2,2068206481.0716
07/28/2026,ProShares UltraPro Short QQQ,SQQQ,46.5764,45.2238,2.99090,1.3526,43951.2,2047088811.4092
07/27/2026,ProShares UltraPro Short QQQ,SQQQ,45.2238,44.7858,0.97799,0.438,47101.2,2130095384.2314
