Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
09/18/2026,ProShares Ultra S&P500,SSO,69.4716,69.2844,0.27019,0.1872,127250,8840261100
09/17/2026,ProShares Ultra S&P500,SSO,69.2844,67.7508,2.26359,1.5336,127250,8816439900
09/16/2026,ProShares Ultra S&P500,SSO,67.7508,68.3659,-0.89972,-0.6151,126950,8600964060
09/15/2026,ProShares Ultra S&P500,SSO,68.3659,68.9841,-0.89615,-0.6182,127100,8689305890
09/14/2026,ProShares Ultra S&P500,SSO,68.9841,69.6547,-0.96275,-0.6706,127300,8781675930
09/11/2026,ProShares Ultra S&P500,SSO,69.6547,68.5038,1.68005,1.1509,128100,8922767070
09/10/2026,ProShares Ultra S&P500,SSO,68.5038,69.3177,-1.17416,-0.8139,128050,8771911590
09/09/2026,ProShares Ultra S&P500,SSO,69.3177,69.9942,-0.96651,-0.6765,128050,8876131485
09/08/2026,ProShares Ultra S&P500,SSO,69.9942,70.8207,-1.16703,-0.8265,128500,8994254700
09/04/2026,ProShares Ultra S&P500,SSO,70.8207,71.3805,-0.78425,-0.5598,128550,9104000985
09/03/2026,ProShares Ultra S&P500,SSO,71.3805,69.909,2.10488,1.4715,128700,9186670350
09/02/2026,ProShares Ultra S&P500,SSO,69.909,69.2849,0.90077,0.6241,128700,8997288300
09/01/2026,ProShares Ultra S&P500,SSO,69.2849,70.2815,-1.41801,-0.9966,128650,8913502385
08/31/2026,ProShares Ultra S&P500,SSO,70.2815,70.7499,-0.66205,-0.4684,125200,8799243800
08/28/2026,ProShares Ultra S&P500,SSO,70.7499,71.1213,-0.52221,-0.3714,125400,8872037460
08/27/2026,ProShares Ultra S&P500,SSO,71.1213,70.1405,1.39834,0.9808,125400,8918611020
08/26/2026,ProShares Ultra S&P500,SSO,70.1405,70.1683,-0.03962,-0.0278,121450,8518563725
08/25/2026,ProShares Ultra S&P500,SSO,70.1683,69.7297,0.62900,0.4386,121600,8532465280
08/24/2026,ProShares Ultra S&P500,SSO,69.7297,70.1356,-0.57874,-0.4059,119750,8350131575
08/21/2026,ProShares Ultra S&P500,SSO,70.1356,69.5648,0.82053,0.5708,119750,8398738100
08/20/2026,ProShares Ultra S&P500,SSO,69.5648,70.7809,-1.71812,-1.2161,119950,8344297760
08/19/2026,ProShares Ultra S&P500,SSO,70.7809,70.4872,0.41667,0.2937,120100,8500786090
08/18/2026,ProShares Ultra S&P500,SSO,70.4872,71.4766,-1.38423,-0.9894,119900,8451415280
08/17/2026,ProShares Ultra S&P500,SSO,71.4766,72.2114,-1.01757,-0.7348,119600,8548601360
08/14/2026,ProShares Ultra S&P500,SSO,72.2114,72.4827,-0.37430,-0.2713,119450,8625651730
08/13/2026,ProShares Ultra S&P500,SSO,72.4827,71.5453,1.31022,0.9374,118550,8592824085
08/12/2026,ProShares Ultra S&P500,SSO,71.5453,71.1788,0.51490,0.3665,118350,8467386255
08/11/2026,ProShares Ultra S&P500,SSO,71.1788,71.6497,-0.65723,-0.4709,118000,8399098400
08/10/2026,ProShares Ultra S&P500,SSO,71.6497,71.7268,-0.10749,-0.0771,118100,8461829570
