Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
09/18/2026,ProShares UltraPro QQQ,TQQQ,72.7813,71.414,1.91461,1.3673,503150,36619911095
09/17/2026,ProShares UltraPro QQQ,TQQQ,71.414,67.9038,5.16937,3.5102,506800,36192615200
09/16/2026,ProShares UltraPro QQQ,TQQQ,67.9038,67.8719,0.04700,0.0319,509300,34583405340
09/15/2026,ProShares UltraPro QQQ,TQQQ,67.8719,69.234,-1.96739,-1.3621,502200,34085268180
09/14/2026,ProShares UltraPro QQQ,TQQQ,69.234,71.0066,-2.49639,-1.7726,501450,34717389300
09/11/2026,ProShares UltraPro QQQ,TQQQ,71.0066,69.1693,2.65624,1.8373,501900,35638212540
09/10/2026,ProShares UltraPro QQQ,TQQQ,69.1693,71.489,-3.24483,-2.3197,501900,34716071670
09/09/2026,ProShares UltraPro QQQ,TQQQ,71.489,72.1399,-0.90227,-0.6509,499800,35730202200
09/08/2026,ProShares UltraPro QQQ,TQQQ,72.1399,72.4299,-0.40039,-0.29,500600,36113233940
09/04/2026,ProShares UltraPro QQQ,TQQQ,72.4299,72.0228,0.56524,0.4071,499650,36189599535
09/03/2026,ProShares UltraPro QQQ,TQQQ,72.0228,69.5982,3.48371,2.4246,496050,35726909940
09/02/2026,ProShares UltraPro QQQ,TQQQ,69.5982,69.1473,0.65209,0.4509,499500,34764300900
09/01/2026,ProShares UltraPro QQQ,TQQQ,69.1473,71.9479,-3.89254,-2.8006,503750,34832952375
08/31/2026,ProShares UltraPro QQQ,TQQQ,71.9479,71.7997,0.20641,0.1482,501800,36103456220
08/28/2026,ProShares UltraPro QQQ,TQQQ,71.7997,73.3916,-2.16905,-1.5919,501950,36039859415
08/27/2026,ProShares UltraPro QQQ,TQQQ,73.3916,70.4026,4.24558,2.989,502350,36868270260
08/26/2026,ProShares UltraPro QQQ,TQQQ,70.4026,70.3123,0.12843,0.0903,505500,35588514300
08/25/2026,ProShares UltraPro QQQ,TQQQ,70.3123,69.0101,1.88697,1.3022,506000,35578023800
08/24/2026,ProShares UltraPro QQQ,TQQQ,69.0101,71.1069,-2.94880,-2.0968,506000,34919110600
08/21/2026,ProShares UltraPro QQQ,TQQQ,71.1069,70.4535,0.92742,0.6534,503800,35823656220
08/20/2026,ProShares UltraPro QQQ,TQQQ,70.4535,72.0066,-2.15689,-1.5531,503300,35459246550
08/19/2026,ProShares UltraPro QQQ,TQQQ,72.0066,72.5084,-0.69206,-0.5018,500850,36064505610
08/18/2026,ProShares UltraPro QQQ,TQQQ,72.5084,76.3812,-5.07036,-3.8728,500650,36301330460
08/17/2026,ProShares UltraPro QQQ,TQQQ,76.3812,76.789,-0.53107,-0.4078,500350,38217333420
08/14/2026,ProShares UltraPro QQQ,TQQQ,76.789,77.1382,-0.45269,-0.3492,499750,38375302750
08/13/2026,ProShares UltraPro QQQ,TQQQ,77.1382,74.587,3.42044,2.5512,500950,38642381290
08/12/2026,ProShares UltraPro QQQ,TQQQ,74.587,72.9935,2.18307,1.5935,503650,37565742550
08/11/2026,ProShares UltraPro QQQ,TQQQ,72.9935,73.7369,-1.00818,-0.7434,503950,36785074325
08/10/2026,ProShares UltraPro QQQ,TQQQ,73.7369,74.4978,-1.02137,-0.7609,502100,37023297490
08/07/2026,ProShares UltraPro QQQ,TQQQ,74.4978,71.9913,3.48167,2.5065,501400,37353196920
08/06/2026,ProShares UltraPro QQQ,TQQQ,71.9913,72.8618,-1.19473,-0.8705,502000,36139632600
08/05/2026,ProShares UltraPro QQQ,TQQQ,72.8618,74.7355,-2.50711,-1.8737,501600,36547478880
08/04/2026,ProShares UltraPro QQQ,TQQQ,74.7355,67.9743,9.94670,6.7612,502650,37565799075
08/03/2026,ProShares UltraPro QQQ,TQQQ,67.9743,64.5584,5.29118,3.4159,506050,34398394515
07/31/2026,ProShares UltraPro QQQ,TQQQ,64.5584,63.465,1.72284,1.0934,505600,32640727040
07/30/2026,ProShares UltraPro QQQ,TQQQ,63.465,57.6759,10.03729,5.7891,508550,32275125750
07/29/2026,ProShares UltraPro QQQ,TQQQ,57.6759,61.4854,-6.19578,-3.8095,509200,29368568280
07/28/2026,ProShares UltraPro QQQ,TQQQ,61.4854,63.3611,-2.96033,-1.8757,506800,31160800720
07/27/2026,ProShares UltraPro QQQ,TQQQ,63.3611,63.9921,-0.98606,-0.631,501550,31778759705
07/24/2026,ProShares UltraPro QQQ,TQQQ,63.9921,66.3292,-3.52349,-2.3371,495800,31727283180
07/23/2026,ProShares UltraPro QQQ,TQQQ,66.3292,70.3068,-5.65749,-3.9776,496000,32899283200
07/22/2026,ProShares UltraPro QQQ,TQQQ,70.3068,71.4741,-1.63318,-1.1673,492150,34601491620
07/21/2026,ProShares UltraPro QQQ,TQQQ,71.4741,67.5931,5.74171,3.881,494200,35322500220
07/20/2026,ProShares UltraPro QQQ,TQQQ,67.5931,67.5382,0.08129,0.0549,495850,33516038635
07/17/2026,ProShares UltraPro QQQ,TQQQ,67.5382,70.7676,-4.56339,-3.2294,493150,33306463330
07/16/2026,ProShares UltraPro QQQ,TQQQ,70.7676,74.3908,-4.87049,-3.6232,485850,34382438460
07/15/2026,ProShares UltraPro QQQ,TQQQ,74.3908,75.0527,-0.88191,-0.6619,482550,35897280540
07/14/2026,ProShares UltraPro QQQ,TQQQ,75.0527,72.6778,3.26771,2.3749,483900,36318001530
07/13/2026,ProShares UltraPro QQQ,TQQQ,72.6778,77.0473,-5.67119,-4.3695,483550,35143350190
07/10/2026,ProShares UltraPro QQQ,TQQQ,77.0473,76.3532,0.90906,0.6941,479250,36924918525
07/09/2026,ProShares UltraPro QQQ,TQQQ,76.3532,72.8293,4.83857,3.5239,480800,36710618560
07/08/2026,ProShares UltraPro QQQ,TQQQ,72.8293,72.26,0.78785,0.5693,485150,35333134895
07/07/2026,ProShares UltraPro QQQ,TQQQ,72.26,76.3361,-5.33968,-4.0761,484150,34984679000
07/06/2026,ProShares UltraPro QQQ,TQQQ,76.3361,73.5695,3.76053,2.7666,481150,36729114515
07/02/2026,ProShares UltraPro QQQ,TQQQ,73.5695,77.4088,-4.95977,-3.8393,483100,35541425450
07/01/2026,ProShares UltraPro QQQ,TQQQ,77.4088,81.1597,-4.62163,-3.7509,479500,37117519600
06/30/2026,ProShares UltraPro QQQ,TQQQ,81.1597,77.2776,5.02358,3.8821,478300,38818684510
06/29/2026,ProShares UltraPro QQQ,TQQQ,77.2776,72.4001,6.73687,4.8775,480150,37104839640
06/26/2026,ProShares UltraPro QQQ,TQQQ,72.4001,74.9354,-3.38331,-2.5353,482500,34933048250
06/25/2026,ProShares UltraPro QQQ,TQQQ,74.9354,73.3079,2.22009,1.6275,478400,35849095360
06/24/2026,ProShares UltraPro QQQ,TQQQ,73.3079,74.4704,-1.56102,-1.1625,481450,35294088455
06/23/2026,ProShares UltraPro QQQ,TQQQ,74.4704,82.6565,-9.90376,-8.1861,478600,35641533440
06/22/2026,ProShares UltraPro QQQ,TQQQ,82.6565,83.1602,-0.60570,-0.5037,472800,39079993200
06/18/2026,ProShares UltraPro QQQ,TQQQ,83.1602,77.4907,7.31636,5.6695,472300,39276562460
06/17/2026,ProShares UltraPro QQQ,TQQQ,77.4907,79.8912,-3.00471,-2.4005,477850,37028930995
06/16/2026,ProShares UltraPro QQQ,TQQQ,79.8912,84.6982,-5.67545,-4.807,477200,38124080640
06/15/2026,ProShares UltraPro QQQ,TQQQ,84.6982,77.5756,9.18150,7.1226,474550,40193530810
06/12/2026,ProShares UltraPro QQQ,TQQQ,77.5756,76.1584,1.86086,1.4172,475750,36906591700
06/11/2026,ProShares UltraPro QQQ,TQQQ,76.1584,69.3414,9.83107,6.817,473100,36030539040
06/10/2026,ProShares UltraPro QQQ,TQQQ,69.3414,73.7461,-5.97279,-4.4047,475850,32996105190
06/09/2026,ProShares UltraPro QQQ,TQQQ,73.7461,76.3344,-3.39074,-2.5883,473150,34892967215
06/08/2026,ProShares UltraPro QQQ,TQQQ,76.3344,72.9149,4.68971,3.4195,471650,36003119760
06/05/2026,ProShares UltraPro QQQ,TQQQ,72.9149,85.1332,-14.35198,-12.2183,469200,34211671080
06/04/2026,ProShares UltraPro QQQ,TQQQ,85.1332,86.4888,-1.56737,-1.3556,465700,39646531240
06/03/2026,ProShares UltraPro QQQ,TQQQ,86.4888,87.2722,-0.89765,-0.7834,465200,40234589760
06/02/2026,ProShares UltraPro QQQ,TQQQ,87.2722,86.0524,1.41751,1.2198,465450,40620845490
06/01/2026,ProShares UltraPro QQQ,TQQQ,86.0524,84.5718,1.75070,1.4806,467650,40242404860
05/29/2026,ProShares UltraPro QQQ,TQQQ,84.5718,83.7212,1.01599,0.8506,470000,39748746000
05/28/2026,ProShares UltraPro QQQ,TQQQ,83.7212,81.6975,2.47706,2.0237,470300,39374080360
05/27/2026,ProShares UltraPro QQQ,TQQQ,81.6975,81.9415,-0.29777,-0.244,471500,38520371250
05/26/2026,ProShares UltraPro QQQ,TQQQ,81.9415,77.8547,5.24927,4.0868,469450,38467437175
05/22/2026,ProShares UltraPro QQQ,TQQQ,77.8547,76.9558,1.16807,0.8989,472200,36762989340
05/21/2026,ProShares UltraPro QQQ,TQQQ,76.9558,76.4821,0.61936,0.4737,464350,35734425730
05/20/2026,ProShares UltraPro QQQ,TQQQ,76.4821,72.8742,4.95086,3.6079,465200,35579472920
05/19/2026,ProShares UltraPro QQQ,TQQQ,72.8742,74.2363,-1.83482,-1.3621,466550,33999458010
05/18/2026,ProShares UltraPro QQQ,TQQQ,74.2363,75.268,-1.37070,-1.0317,467200,34683199360
05/15/2026,ProShares UltraPro QQQ,TQQQ,75.268,78.9356,-4.64632,-3.6676,465900,35067361200
05/14/2026,ProShares UltraPro QQQ,TQQQ,78.9356,77.273,2.15159,1.6626,466700,36839244520
05/13/2026,ProShares UltraPro QQQ,TQQQ,77.273,74.9476,3.10270,2.3254,466950,36082627350
