Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
09/18/2026,ProShares UltraPro S&P500,UPRO,147.4605,146.8608,0.40835,0.5997,37100,5470784550
09/17/2026,ProShares UltraPro S&P500,UPRO,146.8608,142.0416,3.39281,4.8192,37250,5470564800
09/16/2026,ProShares UltraPro S&P500,UPRO,142.0416,143.9982,-1.35877,-1.9566,37350,5305253760
09/15/2026,ProShares UltraPro S&P500,UPRO,143.9982,145.9465,-1.33494,-1.9483,36450,5248734390
09/14/2026,ProShares UltraPro S&P500,UPRO,145.9465,148.1159,-1.46466,-2.1694,36450,5319749925
09/11/2026,ProShares UltraPro S&P500,UPRO,148.1159,144.4885,2.51051,3.6274,36450,5398824555
09/10/2026,ProShares UltraPro S&P500,UPRO,144.4885,147.0651,-1.75201,-2.5766,36600,5288279100
09/09/2026,ProShares UltraPro S&P500,UPRO,147.0651,149.2504,-1.46418,-2.1853,36550,5375229405
09/08/2026,ProShares UltraPro S&P500,UPRO,149.2504,151.9462,-1.77418,-2.6958,36550,5455102120
09/04/2026,ProShares UltraPro S&P500,UPRO,151.9462,153.7726,-1.18773,-1.8264,36550,5553633610
09/03/2026,ProShares UltraPro S&P500,UPRO,153.7726,149.0573,3.16341,4.7153,36650,5635765790
09/02/2026,ProShares UltraPro S&P500,UPRO,149.0573,147.0644,1.35512,1.9929,36550,5448044315
09/01/2026,ProShares UltraPro S&P500,UPRO,147.0644,150.2781,-2.13850,-3.2137,36550,5375203820
08/31/2026,ProShares UltraPro S&P500,UPRO,150.2781,151.8169,-1.01359,-1.5388,36400,5470122840
08/28/2026,ProShares UltraPro S&P500,UPRO,151.8169,153.0567,-0.81003,-1.2398,36250,5503362625
08/27/2026,ProShares UltraPro S&P500,UPRO,153.0567,149.8679,2.12774,3.1888,36250,5548305375
08/26/2026,ProShares UltraPro S&P500,UPRO,149.8679,149.9978,-0.08660,-0.1299,36250,5432711375
08/25/2026,ProShares UltraPro S&P500,UPRO,149.9978,148.5964,0.94309,1.4014,36300,5444920140
08/24/2026,ProShares UltraPro S&P500,UPRO,148.5964,149.8917,-0.86416,-1.2953,36600,5438628240
08/21/2026,ProShares UltraPro S&P500,UPRO,149.8917,148.0656,1.23330,1.8261,36650,5493530805
08/20/2026,ProShares UltraPro S&P500,UPRO,148.0656,152.0045,-2.59130,-3.9389,36700,5434007520
