date,GLD,SLV,USO,UNG,FXE,FXB,FXY,FXA,FXC,FXF,IEF,TLT,SPY,QQQ
2014-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-03,,,,,,,,,,,,,,
2014-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-07,,,,,,,,,,,,,,
2014-01-08,,,,,,,,,,,,,,
2014-01-09,,,,,,,,,,,,,,
2014-01-10,,,,,,,,,,,,,,
2014-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-14,,,,,,,,,,,,,,
2014-01-15,,,,,,,,,,,,,,
2014-01-16,,,,,,,,,,,,,,
2014-01-17,,,,,,,,,,,,,,
2014-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-22,,,,,,,,,,,,,,
2014-01-23,,,,,,,,,,,,,,
2014-01-24,,,,,,,,,,,,,,
2014-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-28,,,,,,,,,,,,,,
2014-01-29,,,,,,,,,,,,,,
2014-01-30,,,,,,,,,,,,,,
2014-01-31,,,,,,,,,,,,,,
2014-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-04,,,,,,,,,,,,,,
2014-02-05,,,,,,,,,,,,,,
2014-02-06,,,,,,,,,,,,,,
2014-02-07,,,,,,,,,,,,,,
2014-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-11,,,,,,,,,,,,,,
2014-02-12,,,,,,,,,,,,,,
2014-02-13,,,,,,,,,,,,,,
2014-02-14,,,,,,,,,,,,,,
2014-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-19,,,,,,,,,,,,,,
2014-02-20,,,,,,,,,,,,,,
2014-02-21,,,,,,,,,,,,,,
2014-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-25,,,,,,,,,,,,,,
2014-02-26,,,,,,,,,,,,,,
2014-02-27,,,,,,,,,,,,,,
2014-02-28,,,,,,,,,,,,,,
2014-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-04,,,,,,,,,,,,,,
2014-03-05,,,,,,,,,,,,,,
2014-03-06,,,,,,,,,,,,,,
2014-03-07,,,,,,,,,,,,,,
2014-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-11,,,,,,,,,,,,,,
2014-03-12,,,,,,,,,,,,,,
2014-03-13,,,,,,,,,,,,,,
2014-03-14,,,,,,,,,,,,,,
2014-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-18,,,,,,,,,,,,,,
2014-03-19,,,,,,,,,,,,,,
2014-03-20,,,,,,,,,,,,,,
2014-03-21,,,,,,,,,,,,,,
2014-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-25,,,,,,,,,,,,,,
2014-03-26,,,,,,,,,,,,,,
2014-03-27,,,,,,,,,,,,,,
2014-03-28,,,,,,,,,,,,,,
2014-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01,,,,,,,,,,,,,,
2014-04-02,,,,,,,,,,,,,,
2014-04-03,,,,,,,,,,,,,,
2014-04-04,,,,,,,,,,,,,,
