date,return,nav,gross,turnover,trading_cost,borrow,funding,interest
2008-01-02,9.999999999998899e-05,1.0001,0.0,0.0,0.0,0.0,0.0,9.999000099990002e-05
2008-01-03,-0.0035067895891461864,0.9965928597318949,1.018324125708084,1.0177491664674818,0.0005088745832337409,0.0,0.0,9.999000099990002e-05
2008-01-04,-0.016164086932544786,0.9804838461108352,1.018627786427678,0.0,0.0,0.0,2.5698937877192108e-06,0.0
2008-01-07,-0.00035960270043478015,0.980131261472041,1.018637090352214,0.0,0.0,0.0,2.59931536611966e-06,0.0
2008-01-08,-0.007167993284878826,0.9731056871715096,1.0187742674513462,0.0,0.0,0.0,2.590119071522113e-06,0.0
2008-01-09,0.006866213000322086,0.979787238091454,1.0186488429607268,0.0,0.0,0.0,2.6172746330060598e-06,0.0
2008-01-10,0.0031998285450718367,0.982922389263996,1.0185919568043822,0.0,0.0,0.0,2.6178590821834474e-06,0.0
2008-01-11,-0.004517533732387058,0.9784820042141774,1.0186789365018587,0.0,0.0,0.0,2.6056049179987857e-06,0.0
2008-01-14,0.0074032312169716175,0.9857259327330208,1.018544258192005,0.0,0.0,0.0,2.5892145134658234e-06,0.0
2008-01-15,-0.01396689669320661,0.971958400462724,1.0188095596779525,0.0,0.0,0.0,2.606319194605302e-06,0.0
2008-01-16,-0.009313263996520438,0.9629062952855789,1.01898903695926,0.0,0.0,0.0,2.639122125599049e-06,0.0
2008-01-17,-0.008280577948398427,0.9549328746504632,1.0191502646553798,0.0,0.0,0.0,2.6395500071087172e-06,0.0
2008-01-18,-6.096572130620537e-05,0.9548746564789611,1.0191541073569534,0.0,0.0,0.0,2.6598722385021876e-06,0.0
2008-01-22,-0.0025106463600487183,0.9524773038983694,1.0192049998141928,0.0,0.0,0.0,2.7375576048085253e-06,0.0
2008-01-23,0.009383260300472873,0.9614146463711404,1.0190291271638718,0.0,0.0,0.0,2.717220665031272e-06,0.0
2008-01-24,0.004714668728120097,0.9659473979391431,1.0189424776934677,0.0,0.0,0.0,2.649117835408443e-06,0.0
2008-01-25,-0.00013186332601555772,0.9658200249024947,1.0189476221233331,0.0,0.0,0.0,2.6233868843484113e-06,0.0
2008-01-28,0.010406978181446869,0.9758712928288595,1.0187550850147722,0.0,0.0,0.0,2.6502794081762922e-06,0.0
2008-01-29,-0.0009873188168191271,0.974907796738656,1.018776242910614,0.0,0.0,0.0,2.61721539525888e-06,0.0
2008-01-30,-0.005815394209343516,0.9692383235828582,1.018888710924039,0.0,0.0,0.0,2.634517515636836e-06,0.0
2008-01-31,0.010470811397571778,0.979387035268393,1.0186955913363036,0.0,0.0,0.0,2.6529943808946512e-06,0.0
2008-02-01,0.008138955777693191,0.9873582230376884,1.0185472475563235,0.0,0.0,0.0,2.5981407408750152e-06,0.0
2008-02-04,-0.005556566979055599,0.9818719009390582,0.9754878436914525,0.05174663429618538,2.5873317148092687e-05,0.0,2.5969826278289925e-06,0.0
2008-02-05,-0.017578912369401567,0.9646116608344727,0.9750467413283008,0.0,0.0,0.0,0.0,2.4714876383968013e-06
2008-02-06,-0.006064907381554074,0.9587613804523446,0.9748919681145151,0.0,0.0,0.0,0.0,2.485325962215939e-06
2008-02-07,0.0022614966678877746,0.9609296161195371,0.9749461165851867,0.0,0.0,0.0,0.0,2.5203583101482644e-06
2008-02-08,0.002741364747695041,0.9635638746941833,0.9750121121118213,0.0,0.0,0.0,0.0,2.5048316043587163e-06
2008-02-11,0.0029765530921026517,0.9664319737248427,0.9750837777813209,0.0,0.0,0.0,0.0,2.495459055655092e-06
2008-02-12,0.0014465196669000147,0.9678299365815566,0.975117279503663,0.0,0.0,0.0,0.0,2.487626624149354e-06
2008-02-13,0.0053312655772026485,0.9729896950070401,0.9752467573421195,0.0,0.0,0.0,0.0,2.4803960883636276e-06
2008-02-14,-0.007300812044041649,0.9658860801230044,0.9750622159436635,0.0,0.0,0.0,0.0,2.469643153797082e-06
2008-02-15,0.0013842769869980565,0.9672231339957803,0.9750941986928501,0.0,0.0,0.0,0.0,2.4922194089418533e-06
2008-02-19,0.005139488024792138,0.9721941657102535,0.9752190694087365,0.0,0.0,0.0,0.0,2.4619894059768157e-06
2008-02-20,0.0043289428158104215,0.9764027386594778,0.975323414841717,0.0,0.0,0.0,0.0,2.5010583915337854e-06
2008-02-21,-0.004079554409638808,0.9724194505613961,0.9752198552343508,0.0,0.0,0.0,0.0,2.4554304318443294e-06
2008-02-22,0.005141599847738876,0.9774192422603409,0.975344147746069,0.0,0.0,0.0,0.0,2.4678045393579713e-06
2008-02-25,0.006072279411867054,0.9833544050018811,0.9754905106285493,0.0,0.0,0.0,0.0,2.4633691893286394e-06
2008-02-26,0.00808541443005062,0.9913052328979371,0.9756846592862903,0.0,0.0,0.0,0.0,2.4547410284705587e-06
2008-02-27,0.0020463882056653837,0.9933338282347538,0.9757318897268558,0.0,0.0,0.0,0.0,2.4382039950136237e-06
2008-02-28,0.00037113807917199537,0.9937024922437414,0.9757384672944746,0.0,0.0,0.0,0.0,2.4273181776844422e-06
2008-02-29,-0.009775576221311533,0.9839884777895055,0.9754965053616785,0.0,0.0,0.0,0.0,2.433438578445042e-06
2008-03-03,0.0016383215211381863,0.98560056728922,0.9755341379605271,0.0,0.0,0.0,0.0,2.4446838384009703e-06
2008-03-04,-0.007835611800957376,0.9778777838531383,1.0217604796107191,0.07261193520174823,3.630596760087411e-05,0.0,0.0,2.4582312187411115e-06
2008-03-05,0.007830002286744575,0.985534569136865,1.0215944346967194,0.0,0.0,0.0,3.0269453126918195e-06,0.0
2008-03-06,-0.013598155303707116,0.9721331170085699,1.0218951851908293,0.0,0.0,0.0,3.019339358542498e-06,0.0
2008-03-07,-0.002864601412336021,0.9693483431086085,1.0219611535172857,0.0,0.0,0.0,3.0622816514173246e-06,0.0
2008-03-10,-0.003774714939062229,0.9656893294367213,1.0220474439229275,0.0,0.0,0.0,3.0634909564786594e-06,0.0
2008-03-11,0.02145393238773763,0.9864071630180163,1.0215873891780347,0.0,0.0,0.0,3.0411856692862855e-06,0.0
2008-03-12,0.0007973875559430521,0.9871937118149,1.0215732023562794,0.0,0.0,0.0,3.013564863957857e-06,0.0
2008-03-13,0.0015698652674644986,0.9887434729353376,1.0215423970949964,0.0,0.0,0.0,3.0278045360950375e-06,0.0
2008-03-14,-0.009523350773407824,0.9793273220176569,1.0217525634840123,0.0,0.0,0.0,2.9947051290785574e-06,0.0
2008-03-17,-0.008875448838616129,0.9706353524748302,1.0219504217828441,0.0,0.0,0.0,3.078162568413808e-06,0.0
2008-03-18,0.019964748354510453,0.9900138430309817,1.0215237711979,0.0,0.0,0.0,3.0317251021921167e-06,0.0
2008-03-19,-0.018964612357509125,0.9712386142693312,1.021942916600241,0.0,0.0,0.0,3.0170400997735634e-06,0.0
2008-03-20,0.005190720701603535,0.9762800426506159,1.0218326544312326,0.0,0.0,0.0,3.0813845745767502e-06,0.0
2008-03-24,0.011446848980728452,0.9874553728617366,1.021588582824551,0.0,0.0,0.0,3.035160744726048e-06,0.0
2008-03-25,0.0076089897779494375,0.9949689107000228,1.0214285487641255,0.0,0.0,0.0,3.001098383784732e-06,0.0
2008-03-26,-0.0010534338531072995,0.9939207767667021,1.0214541424782146,0.0,0.0,0.0,2.9934414958735695e-06,0.0
