date,return,nav,gross,turnover,trading_cost,borrow,funding,interest
2008-01-02,9.999999999998899e-05,1.0001,0.0,0.0,0.0,0.0,0.0,9.999000099990002e-05
2008-01-03,0.0010405589700257512,1.0011406630259228,1.2030667393362628,1.2017555220791458,0.0015021944025989322,0.0,0.0,9.999000099990002e-05
2008-01-04,-0.007324830029501683,0.9938074778336352,1.2045937184267177,0.0,0.0,0.0,2.8415684517745046e-05,0.0
2008-01-07,-0.003566700148858737,0.9902628645545091,1.2053547353620955,0.0,0.0,0.0,2.861925264769024e-05,0.0
2008-01-08,0.00750724152520732,0.9976970070521634,1.2038530457827266,0.0,0.0,0.0,2.843004732453734e-05,0.0
2008-01-09,0.0016789342244716288,0.9993720747029561,1.203539790573448,0.0,0.0,0.0,2.8369332496284265e-05,0.0
2008-01-10,-0.0009562953558187592,0.9984163798291826,1.203763079214662,0.0,0.0,0.0,2.8549787016761583e-05,0.0
2008-01-11,0.0034756993216129572,1.0018865749632422,1.2030856766106355,0.0,0.0,0.0,2.8577342998643832e-05,0.0
2008-01-14,0.010582131094291292,1.0124886700411138,1.2009871715362501,0.0,0.0,0.0,2.8130455416857468e-05,0.0
2008-01-15,-0.00947100039199833,1.0028993894502605,1.202937264849757,0.0,0.0,0.0,2.8120881290847206e-05,0.0
2008-01-16,-0.01604553283782384,0.9868073343638029,1.2062754105153675,0.0,0.0,0.0,2.842806874599071e-05,0.0
2008-01-17,-0.001909896519805665,0.9849226344701827,1.2066989972841426,0.0,0.0,0.0,2.8623725294859792e-05,0.0
2008-01-18,0.003520071669086189,0.9883896327320228,1.2060027251684133,0.0,0.0,0.0,2.873700812485904e-05,0.0
2008-01-22,0.003427388490213401,0.9917772279830948,1.2053277621435543,0.0,0.0,0.0,2.9246279280790938e-05,0.0
2008-01-23,-0.006808385105698811,0.9850248266759234,1.2067641729624272,0.0,0.0,0.0,2.878082684565684e-05,0.0
2008-01-24,0.006590977180209512,0.9915171028304843,1.2054390104772417,0.0,0.0,0.0,2.879750728582e-05,0.0
2008-01-25,0.013563692306762576,1.0049657357301698,1.2027181007760375,0.0,0.0,0.0,2.8438998361514598e-05,0.0
2008-01-28,0.007211878793016435,1.0122134268073903,1.20129470394864,0.0,0.0,0.0,2.839861396859303e-05,0.0
2008-01-29,-0.0033758658009077624,1.0087963301166116,1.2020047622726888,0.0,0.0,0.0,2.8159582217113133e-05,0.0
2008-01-30,-0.004590867551783506,1.004165079778321,1.2029647631562406,0.0,0.0,0.0,2.8357734115433454e-05,0.0
2008-01-31,0.005340975935343106,1.0095283013045289,1.2019146922773787,0.0,0.0,0.0,2.840581483400443e-05,0.0
2008-02-01,-0.006269863245905505,1.0031986969124782,1.203217039279918,0.0,0.0,0.0,2.8088040539142995e-05,0.0
2008-02-04,-0.002794610324892033,1.0003951474761683,1.421629214643836,1.7795892574713212,0.0022244865718391515,0.0,2.851404390478272e-05,0.0
2008-02-05,0.0008216166971721783,1.0012170888331047,1.4213419273206365,0.0,0.0,0.0,5.879564012401024e-05,0.0
2008-02-06,0.00013917744223879147,1.0013564356666542,1.4213421401097517,0.0,0.0,0.0,5.8786660279495856e-05,0.0
2008-02-07,-0.006901048361148465,0.9944460264773713,1.424329311348627,0.0,0.0,0.0,5.891123920991934e-05,0.0
2008-02-08,0.018620091850067855,1.012962702830315,1.4166308775371812,0.0,0.0,0.0,5.881542529911886e-05,0.0
2008-02-11,0.004571738851931295,1.0175937037744016,1.4147927494680235,0.0,0.0,0.0,5.812992921700685e-05,0.0
2008-02-12,-0.011050791031288143,1.0063484883992362,1.4194863447085644,0.0,0.0,0.0,5.8353231388945976e-05,0.0
