date,SPY,QQQ,IWM,EFA,EEM,VNQ,GLD,IEF,TLT,TIP,LQD,DBC
2006-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-04,,,,,,,,,,,,
2006-01-05,,,,,,,,,,,,
2006-01-06,,,,,,,,,,,,
2006-01-09,,,,,,,,,,,,
2006-01-10,,,,,,,,,,,,
2006-01-11,,,,,,,,,,,,
2006-01-12,,,,,,,,,,,,
2006-01-13,,,,,,,,,,,,
2006-01-17,,,,,,,,,,,,
2006-01-18,,,,,,,,,,,,
2006-01-19,,,,,,,,,,,,
2006-01-20,,,,,,,,,,,,
2006-01-23,,,,,,,,,,,,
2006-01-24,,,,,,,,,,,,
2006-01-25,,,,,,,,,,,,
2006-01-26,,,,,,,,,,,,
2006-01-27,,,,,,,,,,,,
2006-01-30,,,,,,,,,,,,
2006-01-31,,,,,,,,,,,,
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-02,,,,,,,,,,,,
2006-02-03,,,,,,,,,,,,
2006-02-06,,,,,,,,,,,,
2006-02-07,,,,,,,,,,,,
2006-02-08,,,,,,,,,,,,
2006-02-09,,,,,,,,,,,,
2006-02-10,,,,,,,,,,,,
2006-02-13,,,,,,,,,,,,
2006-02-14,,,,,,,,,,,,
2006-02-15,,,,,,,,,,,,
2006-02-16,,,,,,,,,,,,
2006-02-17,,,,,,,,,,,,
2006-02-21,,,,,,,,,,,,
2006-02-22,,,,,,,,,,,,
2006-02-23,,,,,,,,,,,,
2006-02-24,,,,,,,,,,,,
2006-02-27,,,,,,,,,,,,
2006-02-28,,,,,,,,,,,,
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-02,,,,,,,,,,,,
2006-03-03,,,,,,,,,,,,
2006-03-06,,,,,,,,,,,,
2006-03-07,,,,,,,,,,,,
2006-03-08,,,,,,,,,,,,
2006-03-09,,,,,,,,,,,,
2006-03-10,,,,,,,,,,,,
2006-03-13,,,,,,,,,,,,
2006-03-14,,,,,,,,,,,,
2006-03-15,,,,,,,,,,,,
2006-03-16,,,,,,,,,,,,
2006-03-17,,,,,,,,,,,,
2006-03-20,,,,,,,,,,,,
2006-03-21,,,,,,,,,,,,
2006-03-22,,,,,,,,,,,,
2006-03-23,,,,,,,,,,,,
2006-03-24,,,,,,,,,,,,
2006-03-27,,,,,,,,,,,,
2006-03-28,,,,,,,,,,,,
2006-03-29,,,,,,,,,,,,
2006-03-30,,,,,,,,,,,,
2006-03-31,,,,,,,,,,,,
2006-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-04,,,,,,,,,,,,
2006-04-05,,,,,,,,,,,,
2006-04-06,,,,,,,,,,,,
2006-04-07,,,,,,,,,,,,
2006-04-10,,,,,,,,,,,,
2006-04-11,,,,,,,,,,,,
2006-04-12,,,,,,,,,,,,
2006-04-13,,,,,,,,,,,,
2006-04-17,,,,,,,,,,,,
2006-04-18,,,,,,,,,,,,
2006-04-19,,,,,,,,,,,,
2006-04-20,,,,,,,,,,,,
2006-04-21,,,,,,,,,,,,
2006-04-24,,,,,,,,,,,,
2006-04-25,,,,,,,,,,,,
2006-04-26,,,,,,,,,,,,
2006-04-27,,,,,,,,,,,,
2006-04-28,,,,,,,,,,,,
2006-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-02,,,,,,,,,,,,
2006-05-03,,,,,,,,,,,,
2006-05-04,,,,,,,,,,,,
2006-05-05,,,,,,,,,,,,
2006-05-08,,,,,,,,,,,,
2006-05-09,,,,,,,,,,,,
2006-05-10,,,,,,,,,,,,
2006-05-11,,,,,,,,,,,,
2006-05-12,,,,,,,,,,,,
2006-05-15,,,,,,,,,,,,
2006-05-16,,,,,,,,,,,,
2006-05-17,,,,,,,,,,,,
2006-05-18,,,,,,,,,,,,
2006-05-19,,,,,,,,,,,,
2006-05-22,,,,,,,,,,,,
2006-05-23,,,,,,,,,,,,
2006-05-24,,,,,,,,,,,,
2006-05-25,,,,,,,,,,,,
2006-05-26,,,,,,,,,,,,
2006-05-30,,,,,,,,,,,,
2006-05-31,,,,,,,,,,,,
2006-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
