feature,period,decile,n,raw_mean_bps,residual_mean_bps
cached_5,confirmation,1,405,125.03339116714739,232.45734539211549
cached_5,confirmation,2,319,208.49850269060516,112.14140983055604
cached_5,confirmation,3,262,214.10634718061038,96.88379636058
cached_5,confirmation,4,227,248.43678073287555,67.96447037271231
cached_5,confirmation,5,236,195.59090642447796,-29.15696235966965
cached_5,confirmation,6,210,294.51106031255944,9.130530166733434
cached_5,confirmation,7,244,331.20148777192696,7.331672320970294
cached_5,confirmation,8,265,333.1470373709312,43.40700204669866
cached_5,confirmation,9,291,223.94607803959664,-165.07493362080413
cached_5,confirmation,10,409,249.5942809978059,-313.5198858779708
cached_5,discovery,1,1011,159.3056528586924,300.43637404689633
cached_5,discovery,2,1011,110.36735370345006,103.31028579101738
cached_5,discovery,3,1011,104.77561845147389,62.74527670914688
cached_5,discovery,4,1011,132.3587566916373,51.600968909853705
cached_5,discovery,5,1011,81.75658518903487,-32.2042652218993
cached_5,discovery,6,1011,93.24641072827838,-28.735430399542537
cached_5,discovery,7,1011,143.61025867955837,-49.59794381324802
cached_5,discovery,8,1011,103.24051474287526,-58.31756814012082
cached_5,discovery,9,1011,153.07775899442652,-128.33123686587695
cached_5,discovery,10,1011,233.5688215338545,-215.6524646054427
cached_5,validation,1,648,175.15034670711486,320.8622259679837
cached_5,validation,2,613,93.79662058202788,109.07014396302112
cached_5,validation,3,611,137.8071911021235,76.07680941764932
cached_5,validation,4,471,117.49180580119142,65.74252519664053
cached_5,validation,5,542,61.61637758584399,-25.362146239402215
cached_5,validation,6,500,121.08909048087588,-10.597296078876504
cached_5,validation,7,541,116.1196906574234,-52.7803101605315
cached_5,validation,8,532,128.28623769785975,-69.19684580614195
cached_5,validation,9,620,150.67913290806968,-92.3667181628358
cached_5,validation,10,532,132.5974833876034,-231.41876663487906
prior_5,confirmation,1,258,130.05439831980595,-42.0669991482263
prior_5,confirmation,2,289,277.3081628698852,17.093361727829613
prior_5,confirmation,3,238,287.96240338060994,23.332160700029288
prior_5,confirmation,4,266,151.70048965195417,-5.088355973317381
prior_5,confirmation,5,273,229.84224711861592,17.588122710754792
prior_5,confirmation,6,238,279.79467695259615,-5.26264112499243
prior_5,confirmation,7,301,194.16180277427787,0.07484070523819543
prior_5,confirmation,8,297,254.9164318090525,19.280344019340674
prior_5,confirmation,9,316,316.19171756769157,23.646034410061425
prior_5,confirmation,10,392,224.5046525714754,-31.287488491789432
prior_5,discovery,1,1011,265.69493405948475,127.64922882353726
prior_5,discovery,2,1011,138.01673687799487,22.01888522450618
prior_5,discovery,3,1011,123.45720399569328,-3.7226353641563614
prior_5,discovery,4,1011,102.65654255066113,-17.646958297519877
prior_5,discovery,5,1011,87.74111483253087,-29.03442176738337
prior_5,discovery,6,1011,56.54157483314604,-40.753733962527185
prior_5,discovery,7,1011,105.49694424430052,-26.39913441846633
prior_5,discovery,8,1011,117.78349249606076,-16.783783372760073
prior_5,discovery,9,1011,89.45007203123305,-15.964822522298252
prior_5,discovery,10,1011,228.4691156521764,5.891372067851989
prior_5,validation,1,707,218.05719107986408,68.83716078028941
prior_5,validation,2,546,80.34136268439815,-7.159666048590715
prior_5,validation,3,512,137.81008704383248,21.708393125169078
prior_5,validation,4,528,155.23506491410018,22.89380216067392
prior_5,validation,5,517,124.76558409552474,32.8401541462275
prior_5,validation,6,484,80.362322025161,-13.237264927922258
prior_5,validation,7,541,113.4206833200516,17.7128094478383
prior_5,validation,8,510,78.62576511332722,-25.01235644080424
prior_5,validation,9,600,120.9779710341351,3.956883196087155
prior_5,validation,10,665,107.52599042801604,14.585156508420036
cached_20,confirmation,1,382,59.83295683965593,170.6845243692135
cached_20,confirmation,2,340,171.13627228925208,67.76656094320875
cached_20,confirmation,3,231,177.83677732675727,-2.2948125731716815
cached_20,confirmation,4,202,273.30123503888325,83.61691003086065
cached_20,confirmation,5,224,321.19560973097407,118.31420971895561
cached_20,confirmation,6,257,319.41865388857315,58.213462580710086
cached_20,confirmation,7,222,256.4858754880381,-23.815471458626607
cached_20,confirmation,8,297,322.6864181935615,-7.865145381509246
cached_20,confirmation,9,298,208.2761675590083,-110.14250105056858
cached_20,confirmation,10,415,307.9150020549858,-247.78046028131544
cached_20,discovery,1,1011,227.08279742692568,322.1804043965977
cached_20,discovery,2,1011,101.65786238134787,106.33521081337064
cached_20,discovery,3,1011,112.63125323626191,85.50395759498507
cached_20,discovery,4,1011,90.75684035231846,29.106796478964437
cached_20,discovery,5,1011,76.37876989304016,11.070256791751222
cached_20,discovery,6,1011,99.55271072778886,-6.727445438058746
cached_20,discovery,7,1011,113.35806203207466,-52.645260949938915
cached_20,discovery,8,1011,90.63818130939565,-114.3056246676027
cached_20,discovery,9,1011,120.8291872579092,-163.21063583906067
cached_20,discovery,10,1011,282.42206695621906,-212.053662770224
cached_20,validation,1,677,177.45122901692602,298.35645784379676
cached_20,validation,2,589,182.45794019195512,214.7755761952912
cached_20,validation,3,493,144.20229015362005,116.18543928902626
cached_20,validation,4,470,145.93353995690634,81.68593107267554
cached_20,validation,5,520,108.1502312606295,22.46106988250347
cached_20,validation,6,495,97.50676159734904,-46.69366780208291
cached_20,validation,7,546,116.56918276755609,-55.0510240981682
cached_20,validation,8,592,94.04148547504766,-81.65539958480778
cached_20,validation,9,590,76.23103761579478,-135.55121244549142
cached_20,validation,10,638,99.4104226677181,-261.63453732662293
prior_20,confirmation,1,339,64.62563872245526,-32.78323696837296
prior_20,confirmation,2,290,216.39934910621952,3.6170397528658085
prior_20,confirmation,3,248,252.1732206432277,-14.164109676809405
prior_20,confirmation,4,209,200.51221643775665,-17.199044122414435
prior_20,confirmation,5,251,325.96241487781873,7.970284789423083
prior_20,confirmation,6,254,243.94939572134052,14.647618495179774
prior_20,confirmation,7,253,306.04097671441485,37.83865592787569
prior_20,confirmation,8,242,235.75542820419855,30.834553135180943
prior_20,confirmation,9,343,240.90570293480368,23.37987403328984
prior_20,confirmation,10,439,282.44958518607206,-24.628845367911854
prior_20,discovery,1,1011,220.26915815641578,142.08544993704402
prior_20,discovery,2,1011,177.14581173638808,60.982219563214144
prior_20,discovery,3,1011,104.27951036063081,39.45544186487886
prior_20,discovery,4,1011,119.49912667757303,14.696795239295554
prior_20,discovery,5,1011,97.18427855868246,2.466688821910963
prior_20,discovery,6,1011,73.57701628688399,-18.752670970742546
prior_20,discovery,7,1011,59.15402666159106,-76.03359688090879
prior_20,discovery,8,1011,61.06199309365035,-31.718895532888407
prior_20,discovery,9,1011,114.31789216436441,-60.566327711672464
prior_20,discovery,10,1011,288.81891787710157,-67.36110791934732
prior_20,validation,1,676,184.13582743294293,185.25610896249626
prior_20,validation,2,537,180.61122611363004,141.63146029258232
prior_20,validation,3,559,238.6730708308979,131.96617419168575
prior_20,validation,4,473,141.7033128421014,34.095867317934854
prior_20,validation,5,480,121.4027698038503,-36.84583382525389
prior_20,validation,6,473,155.52925035326007,3.8738873076598903
prior_20,validation,7,537,122.8970106595104,-31.147918406161818
prior_20,validation,8,588,96.33208429088027,-24.313781224052825
prior_20,validation,9,563,33.57913826520245,-98.59534979156308
prior_20,validation,10,724,5.822544954329664,-140.0103052671758
