feature,period,n_low,n_high,quarters,raw_gross_bps,spy_excess_gross_bps,borrow_bps,net_10bps,net_25bps,net_50bps,gross_ci_low_bps,gross_ci_high_bps,residual_gross_bps
cached_5,confirmation,405,409,6,-62.28044491532925,-57.58801250430585,11.323977626687208,-83.60442254201645,-98.60442254201645,-123.60442254201645,-159.3854591764622,40.840456621287785,272.9886156350431
cached_5,discovery,1011,1011,23,-37.13158433758103,-32.933116648508104,11.275557904150237,-58.407142241731265,-73.40714224173126,-98.40714224173126,-97.44657229570304,16.00909176626827,258.0444193261695
cached_5,validation,648,532,12,21.27643165975572,23.541210020084982,11.302914821299822,-0.02648316154410324,-15.026483161544103,-40.02648316154411,-58.33551061164859,105.02453298298327,276.1404963014314
prior_5,confirmation,258,392,6,-47.22512712583471,-60.553587037435825,11.289837852949399,-68.5149649787841,-83.5149649787841,-108.5149649787841,-171.6479074749544,67.72931692581582,-5.3897553282184365
prior_5,discovery,1011,1011,23,18.612909203654155,27.626205155210528,11.27515141660908,-2.6622422129549257,-17.662242212954926,-42.66224221295492,-28.948450131832136,72.22849033704594,60.87892837784264
prior_5,validation,707,665,12,55.26560032592403,46.39051529686612,11.241116489854772,34.02448383606925,19.02448383606925,-5.975516163930749,-36.594875080552136,138.96833910208701,27.12600213593469
cached_20,confirmation,382,415,6,-124.04102260766494,-156.16982299879106,11.290972107608514,-145.33199471527345,-160.33199471527345,-185.33199471527345,-267.83668200128096,10.164759695080877,209.23249232526447
cached_20,discovery,1011,1011,23,-27.669634764646688,-8.982876516532567,11.282468192349905,-48.95210295699659,-63.95210295699659,-88.95210295699658,-88.76514668707459,30.628254351451076,267.11703358341083
cached_20,validation,677,638,12,39.020403174603956,37.88034390601614,11.27624855069352,17.744154623910436,2.744154623910436,-22.255845376089564,-28.629198703380467,116.46114734193735,279.9954975852099
prior_20,confirmation,339,439,6,-108.9119732318084,-166.4264536828723,11.274690298623895,-130.1866635304323,-145.1866635304323,-170.1866635304323,-272.2921267758934,-20.004102836216976,-4.077195800230552
prior_20,discovery,1011,1011,23,-34.274879860342885,9.485427436538462,11.281248729726435,-55.55612859006932,-70.55612859006932,-95.55612859006932,-124.72164003736722,56.83137937282092,104.72327892819567
prior_20,validation,676,724,12,89.15664123930662,76.94872707265831,11.23722848709604,67.91941275221058,52.919412752210576,27.919412752210576,4.673096881027181,179.43988639282693,162.633207114836
raw_reaction,confirmation,485,414,6,-38.55618931087167,-34.47296812667047,11.346039309112566,-59.90222861998424,-74.90222861998424,-99.90222861998424,-102.4181506663249,37.242602463097164,307.45609090342424
raw_reaction,discovery,1011,1011,23,-73.31799328375148,-48.61259968531453,11.267834640868257,-94.58582792461974,-109.58582792461974,-134.58582792461974,-130.2715576644766,-17.779677429224744,275.74010698405766
raw_reaction,validation,683,594,12,-18.313155914286536,-19.347029257346573,11.317282413172824,-39.63043832745936,-54.63043832745936,-79.63043832745936,-91.37663835867761,54.84811389034788,279.362014839201
raw_prior_20,confirmation,343,266,6,-56.011644012256625,-122.7870129161687,11.34617365331136,-77.35781766556798,-92.35781766556798,-117.35781766556798,-266.66657272494473,78.18748214772339,224.06069670063616
raw_prior_20,discovery,1011,1011,23,-34.92902769509747,39.557049983604585,11.260111377586277,-56.189139072683744,-71.18913907268374,-96.18913907268374,-162.67235519950026,106.27605676655489,277.9377036585339
raw_prior_20,validation,707,611,12,110.41825009521972,74.00054017691778,11.248570723942336,89.16967937127738,74.16967937127738,49.16967937127738,-36.715561207998476,312.06553459569733,353.1174382459162
