,n_pred,n_obs,b_oos,se_oos,b_post,se_post
op,208.0000,132894.0000,-0.2975,0.1059,-0.5794,0.0884
q5_ew,176.0000,114226.0000,-0.2671,0.1545,-0.6218,0.1136
q5_vw,163.0000,106186.0000,0.6188,0.7478,0.4352,0.8222
me_gt_nyse20,205.0000,131801.0000,-1.2102,0.9705,-1.8090,0.9340
nyse_only,203.0000,130017.0000,-0.0120,0.6539,-0.5455,0.3494
op (IS t>=2),186.0000,119696.0000,-0.2742,0.1022,-0.5494,0.0823
op (raw %/mo),208.0000,132894.0000,-0.2525,0.0649,-0.3778,0.0594
q5_ew (IS t>=2),152.0000,99710.0000,-0.2459,0.1301,-0.6162,0.0934
q5_ew (raw %/mo),176.0000,114226.0000,-0.2368,0.0717,-0.3669,0.0577
q5_vw (IS t>=2),83.0000,55599.0000,-0.4284,0.2001,-0.7608,0.1436
q5_vw (raw %/mo),163.0000,106186.0000,-0.1855,0.0726,-0.3287,0.0600
me_gt_nyse20 (IS t>=2),129.0000,81339.0000,-0.4135,0.1267,-0.5740,0.1089
me_gt_nyse20 (raw %/mo),205.0000,131801.0000,-0.2285,0.0615,-0.2993,0.0584
nyse_only (IS t>=2),125.0000,82487.0000,-0.4307,0.1027,-0.5600,0.1046
nyse_only (raw %/mo),203.0000,130017.0000,-0.2296,0.0529,-0.2577,0.0562
