signal,version,IS_n,IS_mean,IS_t,IS_sr,OOS_n,OOS_mean,OOS_t,OOS_sr,POST_n,POST_mean,POST_t,POST_sr,P2015_n,P2015_mean,P2015_t,P2015_sr,IS_skew,IS_worst,IS_worst_z,IS_maxdd_pp,Year,SampleStartYear,SampleEndYear,Cat.Data,Cat.Economic,mech,mech_reason,data_src,Portfolio Period,Stock Weight,Return,T-Stat,Predictability in OP,LongDescription,q5_ew__IS_mean,q5_ew__IS_t,q5_ew__IS_sr,q5_ew__OOS_mean,q5_ew__OOS_t,q5_ew__OOS_sr,q5_ew__POST_mean,q5_ew__POST_t,q5_ew__POST_sr,q5_ew__P2015_mean,q5_ew__P2015_t,q5_ew__P2015_sr,q5_vw__IS_mean,q5_vw__IS_t,q5_vw__IS_sr,q5_vw__OOS_mean,q5_vw__OOS_t,q5_vw__OOS_sr,q5_vw__POST_mean,q5_vw__POST_t,q5_vw__POST_sr,q5_vw__P2015_mean,q5_vw__P2015_t,q5_vw__P2015_sr,me_gt_nyse20__IS_mean,me_gt_nyse20__IS_t,me_gt_nyse20__IS_sr,me_gt_nyse20__OOS_mean,me_gt_nyse20__OOS_t,me_gt_nyse20__OOS_sr,me_gt_nyse20__POST_mean,me_gt_nyse20__POST_t,me_gt_nyse20__POST_sr,me_gt_nyse20__P2015_mean,me_gt_nyse20__P2015_t,me_gt_nyse20__P2015_sr,nyse_only__IS_mean,nyse_only__IS_t,nyse_only__IS_sr,nyse_only__OOS_mean,nyse_only__OOS_t,nyse_only__OOS_sr,nyse_only__POST_mean,nyse_only__POST_t,nyse_only__POST_sr,nyse_only__P2015_mean,nyse_only__P2015_t,nyse_only__P2015_sr,op_OOS_ratio,op_POST_ratio,op_P2015_ratio,q5_ew_OOS_ratio,q5_ew_POST_ratio,q5_ew_P2015_ratio,q5_vw_OOS_ratio,q5_vw_POST_ratio,q5_vw_P2015_ratio,me_gt_nyse20_OOS_ratio,me_gt_nyse20_POST_ratio,me_gt_nyse20_P2015_ratio,smallcap_share_screen,smallcap_share_vw,monthly_rebal,op_OOS_ratio_c,op_POST_ratio_c,op_P2015_ratio_c,q5_ew_OOS_ratio_c,q5_ew_POST_ratio_c,q5_ew_P2015_ratio_c,q5_vw_OOS_ratio_c,q5_vw_POST_ratio_c,q5_vw_P2015_ratio_c,me_gt_nyse20_OOS_ratio_c,me_gt_nyse20_POST_ratio_c,me_gt_nyse20_P2015_ratio_c,alive_2015,alive_2015_big,sc_terc,skew_terc,pub_era
AbnormalAccruals,op,246,0.5332,4.8826,1.0784,108,-0.0084,-0.0348,-0.0116,276,-0.1279,-0.8368,-0.1745,120,-0.1749,-0.7492,-0.2369,0.5620,-4.6922,-3.0510,-8.1774,2001,1971,1992,Accounting,accruals,M4,rule: Cat.Economic=accruals,accounting,12.0000,EW,0.9167,8.4300,1_clear,Abnormal Accruals,0.4316,5.4421,1.2020,0.1531,1.0965,0.3655,-0.0056,-0.0563,-0.0117,-0.0005,-0.0035,-0.0011,0.3574,2.8633,0.6324,0.4237,1.4843,0.4948,0.2500,1.5886,0.3312,0.4873,1.6487,0.5214,0.5139,5.4341,1.2002,0.2904,1.6293,0.5431,0.1006,0.9070,0.1891,0.1574,0.8665,0.2740,0.4952,4.9724,1.0982,0.2207,1.3063,0.4354,0.3208,2.1963,0.4580,0.4072,1.5535,0.4913,-0.0158,-0.2399,-0.3281,0.3547,-0.0130,-0.0013,1.1856,0.6996,1.3634,0.5651,0.1957,0.3063,0.0362,0.1719,0,-0.0158,-0.2399,-0.3281,0.3547,-0.0130,-0.0013,1.1856,0.6996,1.3634,0.5651,0.1957,0.3063,0,0,low (big-cap ok),pos skew,1996-2005
Accruals,op,360,0.6865,6.6730,1.2183,60,0.5943,4.4899,2.0079,336,0.0995,0.9878,0.1867,120,-0.0734,-0.4340,-0.1372,-0.5033,-8.9971,-4.9612,-18.1982,1996,1962,1991,Accounting,accruals,M4,rule: Cat.Economic=accruals,accounting,12.0000,EW,0.8667,4.7100,1_clear,Accruals,0.4671,5.6430,1.0303,0.4784,4.5776,2.0472,0.0836,1.0067,0.1903,-0.0219,-0.1601,-0.0506,0.2976,2.1834,0.3986,0.3272,1.3705,0.6129,0.1734,1.0950,0.2069,0.1768,0.7740,0.2448,0.5550,5.0648,0.9247,0.6255,3.2327,1.4457,0.1261,1.0104,0.1910,-0.0305,-0.1527,-0.0483,0.4286,4.0176,0.7335,0.4585,2.1315,0.9532,0.1749,1.1606,0.2193,0.0266,0.0867,0.0274,0.8657,0.1450,-0.1070,1.0243,0.1790,-0.0468,1.0995,0.5828,0.5941,1.1270,0.2272,-0.0550,0.1915,0.3629,0,0.8657,0.1450,-0.1070,1.0243,0.1790,-0.0468,1.0995,0.5828,0.5941,1.1270,0.2272,-0.0550,0,0,mid,neg skew,1996-2005
AccrualsBM,op,228,1.4454,4.8722,1.1178,72,2.2788,3.3724,1.3768,240,0.8965,2.5644,0.5734,120,0.7257,1.3110,0.4146,-0.3655,-16.7016,-4.0512,-46.9626,2004,1980,1998,Accounting,valuation,M6,rule: Cat.Economic=valuation,accounting,12.0000,EW,0.2060,5.5000,1_clear,Book-to-market and accruals,,,,,,,,,,,,,,,,,,,,,,,,,0.4721,1.2424,0.2850,1.6630,1.6367,0.6682,0.4233,1.1244,0.2514,0.3759,0.6856,0.2168,0.4779,1.1783,0.2703,1.2539,1.5661,0.6394,0.9083,1.1506,0.2573,1.1167,0.7893,0.2496,1.5766,0.6203,0.5021,,,,,,,3.5222,0.8965,0.7961,0.6733,,0,1.5766,0.6203,0.5021,,,,,,,2.5000,0.8965,0.7961,0,0,high (microcap),neg skew,1996-2005
Activism1,op,135,0.2403,0.9883,0.2947,48,-0.1413,-0.4483,-0.2241,14,0.1499,0.3281,0.3038,0,,,,0.8119,-8.0142,-2.9219,-20.2768,2005,1990,2001,13F,other,M1,13F/governance data,flows_holdings,1.0000,VW,0.9025,3.1300,1_clear,Takeover vulnerability,0.2854,1.1780,0.3512,-0.1341,-0.4256,-0.2128,0.1755,0.3810,0.3527,,,,0.2854,1.1780,0.3512,-0.1341,-0.4256,-0.2128,0.1755,0.3810,0.3527,,,,0.2583,1.0540,0.3142,-0.1263,-0.4061,-0.2031,0.1786,0.3867,0.3580,,,,0.2099,0.9854,0.2938,-0.0302,-0.1178,-0.0589,0.1431,0.3993,0.3697,,,,-0.5879,0.6236,,-0.4700,0.6148,,-0.4700,0.6148,,-0.4889,0.6916,,-0.0748,0.0000,1,-0.5879,0.6236,,-0.4700,0.6148,,-0.4700,0.6148,,-0.4889,0.6916,,0,0,low (big-cap ok),pos skew,1996-2005
AM,op,336,0.6229,3.4934,0.6602,24,1.4870,1.8672,1.3203,384,0.4682,1.7334,0.3064,120,0.3736,0.8181,0.2587,0.5376,-11.1199,-3.5926,-53.0061,1992,1963,1990,Accounting,valuation,M6,rule: Cat.Economic=valuation,accounting,12.0000,EW,,5.6900,1_clear,Total assets to market,0.6229,3.4934,0.6602,1.4870,1.8672,1.3203,0.4682,1.7334,0.3064,0.3736,0.8181,0.2587,0.2209,1.2111,0.2289,1.0186,1.5325,1.0836,0.0296,0.1105,0.0195,-0.2884,-0.5636,-0.1782,0.2636,1.4287,0.2700,1.0090,1.4730,1.0416,0.3887,1.3222,0.2337,0.3132,0.6555,0.2073,0.2723,1.3994,0.2645,1.7985,1.2088,0.8548,0.1772,0.7364,0.1302,0.3004,0.5527,0.1748,2.3871,0.7516,0.5998,2.3871,0.7516,0.5998,4.6121,0.1340,-1.3059,3.8282,1.4748,1.1884,0.5769,0.6455,0,2.3871,0.7516,0.5998,2.3871,0.7516,0.5998,2.5000,0.1340,-1.3059,2.5000,1.4748,1.1884,0,0,high (microcap),pos skew,<=1995
AnalystRevision,op,58,0.9613,5.3692,2.4422,48,1.2369,6.0545,3.0272,480,0.5349,6.6718,1.0549,120,0.0993,0.6907,0.2184,-0.5806,-3.0320,-2.9287,-3.0320,1984,1975,1980,Analyst,earnings forecast,M4,rule: Cat.Economic=earnings forecast,analyst,1.0000,EW,0.4606,3.1692,1_clear,EPS forecast revision,0.9613,5.3692,2.4422,1.2369,6.0545,3.0272,0.5349,6.6718,1.0549,0.0993,0.6907,0.2184,0.7780,3.3954,1.5444,0.6301,1.8386,0.9193,0.3413,2.6777,0.4234,0.4885,1.9948,0.6308,0.9980,5.2229,2.3757,1.2201,5.9195,2.9597,0.4495,5.1716,0.8177,0.0615,0.4477,0.1416,1.0607,5.2388,2.3829,0.9759,4.3001,2.1500,0.3478,3.5336,0.5587,0.0378,0.1891,0.0598,1.2867,0.5564,0.1033,1.2867,0.5564,0.1033,0.8100,0.4387,0.6278,1.2226,0.4504,0.0617,-0.0381,0.1907,1,1.2867,0.5564,0.1033,1.2867,0.5564,0.1033,0.8100,0.4387,0.6278,1.2226,0.4504,0.0617,0,0,low (big-cap ok),neg skew,<=1995
AnnouncementReturn,op,192,1.1476,12.7019,3.1755,48,1.2884,8.8766,4.4383,336,0.7998,7.1541,1.3520,120,0.3474,1.8006,0.5694,-0.2569,-3.3879,-3.6227,-5.2891,1996,1977,1992,Price,earnings event,M4,earnings-announcement drift,price,1.0000,EW,,9.2500,1_clear,Earnings announcement return,1.1476,12.7019,3.1755,1.2884,8.8766,4.4383,0.7998,7.1541,1.3520,0.3474,1.8006,0.5694,0.7716,5.1005,1.2751,0.3764,1.6259,0.8130,0.3355,2.0077,0.3794,0.2750,0.9549,0.3020,0.8503,9.2854,2.3213,0.8130,5.2515,2.6258,0.5120,4.8503,0.9166,0.1630,1.0499,0.3320,0.7725,7.3360,1.8340,0.7686,5.7209,2.8604,0.3682,3.1765,0.6003,0.2299,1.0566,0.3341,1.1226,0.6969,0.3027,1.1226,0.6969,0.3027,0.4879,0.4348,0.3563,0.9561,0.6022,0.1916,0.2591,0.3277,1,1.1226,0.6969,0.3027,1.1226,0.6969,0.3027,0.4879,0.4348,0.3563,0.9561,0.6022,0.1916,1,0,mid,neg skew,1996-2005
AssetGrowth,op,432,1.4947,7.6556,1.2759,60,-0.3978,-1.0069,-0.4503,192,0.6665,2.5995,0.6499,120,0.4681,1.4234,0.4501,1.8638,-8.4321,-2.4462,-15.6815,2008,1968,2003,Accounting,investment,M6,rule: Cat.Economic=investment,accounting,12.0000,EW,1.7300,8.4500,1_clear,Asset growth,1.1134,7.3637,1.2273,-0.1719,-0.5437,-0.2431,0.5468,2.6984,0.6746,0.4057,1.5059,0.4762,0.5479,3.5306,0.5884,-0.1173,-0.4021,-0.1798,-0.0198,-0.0880,-0.0220,-0.1563,-0.4754,-0.1503,0.8940,6.0506,1.0084,0.0324,0.1091,0.0488,0.5150,2.4630,0.6157,0.4558,1.5191,0.4804,0.6686,4.4246,0.7374,-0.2838,-0.8562,-0.3829,0.4825,1.7368,0.4342,0.3581,1.0102,0.3195,-0.2662,0.4459,0.3132,-0.1544,0.4911,0.3644,-0.2141,-0.0362,-0.2852,0.0362,0.5761,0.5098,0.4018,0.5079,0,-0.2662,0.4459,0.3132,-0.1544,0.4911,0.3644,-0.2141,-0.0362,-0.2852,0.0362,0.5761,0.5098,0,1,high (microcap),pos skew,2006-2010
BetaLiquidityPS,op,384,0.3702,2.0285,0.3586,48,1.1036,2.0611,1.0306,252,-0.0067,-0.0308,-0.0067,120,-0.3636,-1.3938,-0.4408,0.1786,-13.3553,-3.8383,-42.1119,2003,1968,1999,Price,liquidity,M3,rule: Cat.Economic=liquidity,price,12.0000,VW,0.5333,2.5400,1_clear,Pastor-Stambaugh liquidity beta,0.1420,1.0893,0.1926,0.5223,0.9077,0.4538,-0.0178,-0.1046,-0.0228,-0.3374,-1.7166,-0.5428,0.1420,1.0893,0.1926,0.5223,0.9077,0.4538,-0.0178,-0.1046,-0.0228,-0.3374,-1.7166,-0.5428,0.2126,1.2550,0.2219,0.9258,1.6123,0.8061,0.0343,0.1536,0.0335,-0.2656,-0.9381,-0.2967,0.1092,0.6602,0.1167,1.0660,1.9894,0.9947,0.0647,0.2502,0.0546,-0.2645,-0.7472,-0.2363,2.9811,-0.0180,-0.9824,3.6778,-0.1253,-2.3759,3.6778,-0.1253,-2.3759,4.3549,0.1613,-1.2495,0.4257,0.0000,0,2.5000,-0.0180,-0.9824,2.5000,-0.1253,-1.5000,2.5000,-0.1253,-1.5000,2.5000,0.1613,-1.2495,0,0,high (microcap),mid,1996-2005
BetaTailRisk,op,576,0.4565,3.2980,0.4760,48,-0.2261,-0.4259,-0.2130,120,0.2751,0.8088,0.2558,120,0.2751,0.8088,0.2558,0.3084,-11.9630,-3.7384,-50.5326,2014,1963,2010,Price,risk,M6,rule: Cat.Economic=risk,price,12.0000,EW,0.3300,2.4800,1_clear,Tail risk beta,0.4565,3.2980,0.4760,-0.2261,-0.4259,-0.2130,0.2751,0.8088,0.2558,0.2751,0.8088,0.2558,0.4483,2.3377,0.3374,-0.1970,-0.3272,-0.1636,0.8068,1.6879,0.5338,0.8068,1.6879,0.5338,0.4684,2.9651,0.4280,-0.3705,-0.6820,-0.3410,0.3225,0.8842,0.2796,0.3225,0.8842,0.2796,0.4349,2.4447,0.3529,-0.4168,-0.6134,-0.3067,0.4308,0.9482,0.2999,0.4308,0.9482,0.2999,-0.4952,0.6025,0.6025,-0.4952,0.6025,0.6025,-0.4394,1.7998,1.7998,-0.7909,0.6884,0.6884,-0.0261,0.0181,0,-0.4952,0.6025,0.6025,-0.4952,0.6025,0.6025,-0.4394,1.7998,1.7998,-0.7909,0.6884,0.6884,0,0,low (big-cap ok),mid,2011-2016
