period,bucket,n,raw_forward_bps,spy_excess_bps
discovery,+SUE & |SUE|>=1,3880,168.74771570020891,42.38338774224957
discovery,+SUE & |SUE|<1,3998,104.07955886297955,41.308853273122665
discovery,-SUE & |SUE|>=1,694,162.4532295613079,34.80769120179911
discovery,-SUE & |SUE|<1,1538,95.0470494499591,35.634345468296225
validation,+SUE & |SUE|>=1,1803,156.09444735021967,52.44671487325166
validation,+SUE & |SUE|<1,2699,117.19206229480783,52.88691769411675
validation,-SUE & |SUE|>=1,264,63.588782801058535,-26.92859308627596
validation,-SUE & |SUE|<1,844,100.68609072421955,8.074285910497137
confirmation,+SUE & |SUE|>=1,1024,233.21912602358492,-13.307272192518118
confirmation,+SUE & |SUE|<1,1259,226.38360393285905,-15.794796797307283
confirmation,-SUE & |SUE|>=1,155,348.29182808882445,17.157266292829167
confirmation,-SUE & |SUE|<1,430,223.6703636148339,44.47708001783377
