feature,period,decile,n,mean_forward_bps,median_forward_bps
pre_earnings_return_5d,discovery,1,1012,299.7740716379473,251.43697316028374
pre_earnings_return_5d,discovery,2,1011,100.03724968108347,64.2012306756954
pre_earnings_return_5d,discovery,3,1011,64.65687964806885,44.20827099012399
pre_earnings_return_5d,discovery,4,1012,51.803080155686175,45.18961831223677
pre_earnings_return_5d,discovery,5,1011,-31.07866759553582,-23.410206980556385
pre_earnings_return_5d,discovery,6,1011,-28.171969052307464,-36.447383421867286
pre_earnings_return_5d,discovery,7,1012,-47.66887365300697,-29.626512427799238
pre_earnings_return_5d,discovery,8,1011,-56.97890174979169,-63.115204233698165
pre_earnings_return_5d,discovery,9,1011,-131.31120175993354,-157.02008720837367
pre_earnings_return_5d,discovery,10,1012,-214.04751075502736,-229.68265768582594
pre_earnings_return_5d,validation,1,646,319.9431584268425,246.36207683114566
pre_earnings_return_5d,validation,2,611,107.70884779575049,96.81906701712373
pre_earnings_return_5d,validation,3,607,75.74137636170497,58.27341588639175
pre_earnings_return_5d,validation,4,470,70.1511022451301,68.14884094332082
pre_earnings_return_5d,validation,5,539,-28.876626079060177,-26.6196835723532
pre_earnings_return_5d,validation,6,495,-8.206327177696032,9.08440809458952
pre_earnings_return_5d,validation,7,538,-50.79982737438737,-58.496372144042766
pre_earnings_return_5d,validation,8,532,-73.83038133897857,-61.93011639658053
pre_earnings_return_5d,validation,9,620,-89.76436832985284,-89.29934553814101
pre_earnings_return_5d,validation,10,528,-234.9569549294476,-228.0390983257198
pre_earnings_return_5d,confirmation,1,405,232.45734539211549,210.51347815541888
pre_earnings_return_5d,confirmation,2,319,112.14140983055604,97.61873295395849
pre_earnings_return_5d,confirmation,3,262,96.88379636058,100.75246033644791
pre_earnings_return_5d,confirmation,4,227,67.96447037271231,109.83093504896429
pre_earnings_return_5d,confirmation,5,236,-29.15696235966965,-65.06069646621296
pre_earnings_return_5d,confirmation,6,207,12.246551609674622,7.8923832514600845
pre_earnings_return_5d,confirmation,7,245,3.059895306855785,-35.85019843269479
pre_earnings_return_5d,confirmation,8,264,54.11592947241361,11.563033765362706
pre_earnings_return_5d,confirmation,9,293,-171.51447037802552,-163.52102809058297
pre_earnings_return_5d,confirmation,10,410,-313.10931750579556,-300.41733936790314
pre_earnings_return_20d,discovery,1,1012,317.6848935349465,267.6948990739273
pre_earnings_return_20d,discovery,2,1011,107.998509762369,97.69342261622982
pre_earnings_return_20d,discovery,3,1011,87.07220870272609,67.72995308418352
pre_earnings_return_20d,discovery,4,1012,28.124430376815297,22.358218686385285
pre_earnings_return_20d,discovery,5,1011,9.235434765241482,18.110364268951468
pre_earnings_return_20d,discovery,6,1011,-2.8268735598368253,1.7504357399764774
pre_earnings_return_20d,discovery,7,1012,-51.79004808914294,-32.64124852313741
pre_earnings_return_20d,discovery,8,1011,-114.6985630355057,-128.14052946848284
pre_earnings_return_20d,discovery,9,1011,-160.94776994770595,-152.58260263272433
pre_earnings_return_20d,discovery,10,1012,-212.82948931486266,-256.17866558920645
pre_earnings_return_20d,validation,1,675,297.410192409981,293.0133602764894
pre_earnings_return_20d,validation,2,587,214.40814508426396,191.2144422007952
pre_earnings_return_20d,validation,3,492,114.71993236317977,91.42213251558205
pre_earnings_return_20d,validation,4,463,84.92327811791446,93.87733309785848
pre_earnings_return_20d,validation,5,518,22.864102157104412,57.5205844235681
pre_earnings_return_20d,validation,6,494,-44.87287277602885,-26.026284773700453
pre_earnings_return_20d,validation,7,542,-58.74668744992893,-112.27659251266401
pre_earnings_return_20d,validation,8,591,-78.773138155042,-82.3523499150454
pre_earnings_return_20d,validation,9,587,-140.25856060871092,-141.7000214547244
pre_earnings_return_20d,validation,10,637,-260.32435023009947,-251.32141769007524
pre_earnings_return_20d,confirmation,1,382,170.6845243692135,124.12120780653125
pre_earnings_return_20d,confirmation,2,340,67.76656094320875,42.71741327694883
pre_earnings_return_20d,confirmation,3,227,6.369662739952731,13.86233313578089
pre_earnings_return_20d,confirmation,4,203,71.82596601832904,13.258106195319606
pre_earnings_return_20d,confirmation,5,224,121.59256941131164,141.91379500171985
pre_earnings_return_20d,confirmation,6,257,54.674951466131304,38.20086663601195
pre_earnings_return_20d,confirmation,7,225,-21.23582355695546,-50.658038171553585
pre_earnings_return_20d,confirmation,8,296,-9.385364581972002,-33.649450772461414
pre_earnings_return_20d,confirmation,9,294,-114.26207715021451,-100.6062342981557
pre_earnings_return_20d,confirmation,10,420,-241.94329978499238,-231.49031229958052
strict_pre_5d,discovery,1,1012,104.64759602709265,61.29515409440579
strict_pre_5d,discovery,2,1011,43.385847950776736,26.589841655471545
strict_pre_5d,discovery,3,1011,-7.120644437065468,2.7384932995728333
strict_pre_5d,discovery,4,1012,-36.74480036633096,-24.902041402439114
strict_pre_5d,discovery,5,1011,-33.61208202122125,-17.989532710522006
strict_pre_5d,discovery,6,1011,-49.0919638766169,-54.92974738789232
strict_pre_5d,discovery,7,1012,-24.80523946259252,-16.35837829122736
strict_pre_5d,discovery,8,1011,-42.03723529586317,-30.84403854762826
strict_pre_5d,discovery,9,1011,-10.136530211524144,-25.389028523928907
strict_pre_5d,discovery,10,1012,62.51362920204662,-11.954575327072842
strict_pre_5d,validation,1,708,82.36088627041002,72.77556697982922
strict_pre_5d,validation,2,576,-27.921227585498272,-21.590232846643392
strict_pre_5d,validation,3,497,18.423709445214286,-26.542621480262728
strict_pre_5d,validation,4,452,6.78600949223293,1.0492655496251124
strict_pre_5d,validation,5,534,-1.5400897102316877,1.867787855644159
strict_pre_5d,validation,6,497,38.13857658099973,15.026599705410051
strict_pre_5d,validation,7,499,20.83864589468233,18.47053197070441
strict_pre_5d,validation,8,534,-49.138202928219805,-72.78537790049768
strict_pre_5d,validation,9,618,51.51305447533391,7.350188905124646
strict_pre_5d,validation,10,671,-4.598242409639086,26.653564928503826
strict_pre_5d,confirmation,1,282,-30.049351870922287,-71.9155360904177
strict_pre_5d,confirmation,2,295,16.32914002514957,-50.324515233979916
strict_pre_5d,confirmation,3,230,-8.02203187193981,4.317873997756747
strict_pre_5d,confirmation,4,243,-20.60676563748966,-22.65589499400915
strict_pre_5d,confirmation,5,276,37.10257607639501,13.110643740763173
strict_pre_5d,confirmation,6,248,35.14132982868875,13.403006007494996
strict_pre_5d,confirmation,7,280,15.404680960647479,-18.377532953785554
strict_pre_5d,confirmation,8,275,-1.6870274206039633,-17.97589776933858
strict_pre_5d,confirmation,9,332,16.0071592087375,17.008817492403235
strict_pre_5d,confirmation,10,407,-36.40846840213063,-41.111266594645244
strict_pre_20d,discovery,1,1008,125.982590906272,115.81571637747821
strict_pre_20d,discovery,2,1007,90.0371972013579,71.11615537557171
strict_pre_20d,discovery,3,1007,28.6638825488111,21.188567640542388
strict_pre_20d,discovery,4,1008,-4.382540905553357,-2.5281912932634873
strict_pre_20d,discovery,5,1007,5.474313551418948,4.910633040621365
strict_pre_20d,discovery,6,1007,-18.54807272368021,-22.5018310017683
strict_pre_20d,discovery,7,1008,-49.96873674583548,-48.225348359239185
strict_pre_20d,discovery,8,1007,-33.41205907395014,-42.37429271749185
strict_pre_20d,discovery,9,1007,-82.22520923581813,-62.75619801332204
strict_pre_20d,discovery,10,1008,-55.542119278079944,-129.43541960611356
strict_pre_20d,validation,1,667,191.52110316306522,221.33476209572595
strict_pre_20d,validation,2,547,138.52752044991044,135.27057047520793
strict_pre_20d,validation,3,554,117.35922696109489,98.19551645892548
strict_pre_20d,validation,4,474,10.597400312861364,13.285228553751502
strict_pre_20d,validation,5,441,13.701838965395293,-6.910043838616181
strict_pre_20d,validation,6,486,-34.25677471499998,-26.30989654886425
strict_pre_20d,validation,7,546,-6.5506368656753615,-3.860550584341019
strict_pre_20d,validation,8,567,-24.310457981644582,-83.05865209821089
strict_pre_20d,validation,9,556,-83.3448786057963,-95.84841631366976
strict_pre_20d,validation,10,748,-152.08430704099052,-139.9384121321936
strict_pre_20d,confirmation,1,317,-31.14816915578898,-119.1991210278623
strict_pre_20d,confirmation,2,313,-5.884752233217983,-7.399305410256442
strict_pre_20d,confirmation,3,249,-18.254852366590118,-24.227897656843794
strict_pre_20d,confirmation,4,230,16.24626903225186,8.246410144627554
strict_pre_20d,confirmation,5,239,2.1844464012401525,-5.728844654164399
strict_pre_20d,confirmation,6,258,15.658353942015644,-3.745540375597739
strict_pre_20d,confirmation,7,244,29.286969446339562,14.92185913298116
strict_pre_20d,confirmation,8,257,55.58330718385583,62.68328353566588
strict_pre_20d,confirmation,9,304,27.431994186442576,39.08053354192205
strict_pre_20d,confirmation,10,457,-41.61038174533003,-82.11596010741711
