feature,period,n_low,n_high,half_long_high_short_low_bps,net_10bps,net_25bps,net_50bps
pre_earnings_return_20d,confirmation,382,420,-206.31391207710294,-216.31391207710294,-231.31391207710294,-256.31391207710294
pre_earnings_return_20d,discovery,1012,1012,-265.2571914249046,-275.2571914249046,-290.2571914249046,-315.2571914249046
pre_earnings_return_20d,validation,675,637,-278.86727132004023,-288.86727132004023,-303.86727132004023,-328.86727132004023
pre_earnings_return_5d,confirmation,405,410,-272.78333144895555,-282.78333144895555,-297.78333144895555,-322.78333144895555
pre_earnings_return_5d,discovery,1012,1012,-256.91079119648737,-266.91079119648737,-281.91079119648737,-306.91079119648737
pre_earnings_return_5d,validation,646,528,-277.4500566781451,-287.4500566781451,-302.4500566781451,-327.4500566781451
strict_pre_20d,confirmation,317,457,-5.231106294770525,-15.231106294770525,-30.231106294770527,-55.23110629477053
strict_pre_20d,discovery,1008,1008,-90.76235509217597,-100.76235509217597,-115.76235509217597,-140.76235509217597
strict_pre_20d,validation,667,748,-171.80270510202786,-181.80270510202786,-196.80270510202786,-221.80270510202786
strict_pre_5d,confirmation,282,407,-3.1795582656041717,-13.179558265604172,-28.17955826560417,-53.17955826560417
strict_pre_5d,discovery,1012,1012,-21.06698341252301,-31.06698341252301,-46.066983412523015,-71.06698341252302
strict_pre_5d,validation,708,671,-43.47956434002455,-53.47956434002455,-68.47956434002455,-93.47956434002455
