ticker,avg_dollar_volume
A,300348753.78270227
AAPL,17211985295.531937
ABBV,1598111722.8225708
ABNB,622530830.0073048
ABT,1133863264.5319862
ACGL,204240615.7841879
ACN,1254189758.6508372
ADBE,1483189151.2916443
ADI,1880850728.0294268
ADM,294297408.30458385
ADP,632063977.3056757
ADSK,577614783.2764399
AEE,193978827.78463212
AEP,635081811.7691646
AES,118153609.46735957
AFL,286452760.4110354
AIG,292431579.87676954
AIZ,107298601.23586503
AJG,382596548.25252956
AKAM,556417489.5276024
ALB,331872988.18840146
ALGN,176846851.98754203
ALL,430178682.2660174
ALLE,172650097.0885625
AMAT,5293816901.290942
AMCR,156579685.21482074
AMD,15039221873.406256
AME,276709383.5259574
AMGN,982056215.1113843
AMP,312837934.935264
AMT,567261303.6729116
AMZN,12457815393.784998
ANET,1442189755.2355568
AON,511041185.3637211
AOS,103148834.81785607
APA,202179379.45843348
APD,369060993.4463743
APH,1304157322.3201933
APO,523823171.1230808
APP,2738780127.333868
APTV,216198678.22679186
ARE,93285722.5808401
ARES,298725621.3079907
ATO,244886962.6468719
AVGO,10298474795.35789
AVY,126591938.0638728
AWK,296857324.91809905
AXON,545871352.9806955
AXP,995060655.2654448
AZO,1055459652.8432695
BA,1332619539.0382798
BAC,2008603682.5367336
BALL,153178251.40922788
BAX,156907526.2112784
BBY,315811617.1153114
BDX,367113486.6162255
BEN,146128529.70161134
BF-B,70424834.84731099
BG,186584839.02606055
BIIB,241073625.04245818
BKNG,1289427086.364092
BKR,518458246.3452233
BLDR,186219244.70522442
BLK,802909450.7104298
BMY,725873813.373172
BNY,548912052.8014168
BR,212224846.04170057
BRK-B,2394017946.0048614
BRO,182334314.30468485
BSX,987304333.0563197
BX,635216104.4523693
BXP,94023903.21440923
C,1612689051.1986868
CAH,514549706.65443057
CARR,432792670.8108327
CASY,417371231.5519787
CAT,2963501690.858871
CB,613066361.0808842
CBOE,404159169.54563683
CBRE,294150557.6515198
CCI,351922152.75997585
CCL,619140156.6320632
CDNS,872973096.9059535
CDW,270721957.38136655
CEG,930531149.8894827
CF,300046522.3935082
CFG,299065713.4796082
CHD,186996590.96398732
CHRW,323928484.80810744
CHTR,447005610.58025056
CI,488040095.2777197
CIEN,1279493051.6131203
CINF,140212111.7812868
CL,450864848.9721147
CLX,245977344.7284759
CMCSA,831414805.0492332
CME,822602487.9873366
CMG,653561831.9089193
CMI,687661298.1412373
CMS,258929278.1409975
CNC,316111195.9655096
CNP,272211335.0197686
COF,887247769.6503655
COHR,2092585293.9194453
COIN,1324325144.787089
COO,189503785.3650835
COP,804380504.4947791
COR,467783934.2896961
COST,2280336446.216983
CPAY,226331575.57654002
CPRT,368478310.36483824
CPT,121535246.12280224
CRH,488181209.53132993
CRL,195881280.65963018
CRM,2593705114.1241407
CRWD,2056496578.6961389
CSCO,2917052511.2974744
CSGP,239921464.21583265
CSX,610856964.2721994
CTAS,427120014.2580305
CTSH,546862694.5018102
CTVA,336541366.4800856
CVNA,711573537.1103317
CVS,814907090.6253512
CVX,1643558564.8840768
D,452517197.2397941
DAL,597325404.4371831
DASH,823790883.1852504
DD,206162653.4639384
DDOG,1304091839.2390902
DE,743869202.193681
DECK,238727220.57864478
DELL,3464014415.1760526
DG,345497950.45380366
DGX,196167705.4332915
DHI,361077778.8592384
DHR,923096935.7987177
DIS,1047795346.1550032
DLR,549554764.2189873
DLTR,383242450.91288733
DOC,152113833.8701763
DOV,228475595.1334151
DOW,357958436.2624577
DPZ,286385107.55218023
DRI,269905201.8470885
DTE,204096062.69611177
DUK,490788688.01626784
DVA,186034302.11627296
DVN,570607992.3596882
DXCM,430732170.1996334
EBAY,453363854.5305888
ECHO,909626184.6382747
ECL,410613446.14783394
ED,262533032.22022888
EFX,284432794.2126804
EG,143617448.71390206
EIX,197827709.89870343
EL,262870846.91099137
ELV,610866790.4681493
EME,350258847.0082117
EMR,416471188.1702726
EOG,474319655.6863936
EQIX,636613147.5299169
EQT,377643712.0315491
ERIE,57522507.70077176
ES,183780509.70980933
ESS,135798275.35473052
ETN,986152667.9987832
ETR,347769476.035878
EVRG,172473947.5648668
EW,425519691.83391994
EXC,394687188.8238029
EXE,327549261.94147986
EXPD,211958366.92357138
EXPE,416755119.65361094
EXR,171618026.07097322
F,848401130.7748008
FANG,424797731.31270635
FAST,370488677.94401985
FCX,891823330.3037311
FDS,236305876.8007793
FDX,620185691.7787524
FDXF,278108992.52577347
FE,210578597.9384831
FERG,567054724.6322632
FFIV,269863394.2127046
FICO,395242006.3794333
FIS,270631680.6185041
FISV,432079455.57633054
FITB,365833555.0749279
FIX,896886187.1489025
FLEX,905417550.784992
FOX,87757853.8621509
FOXA,347394501.14296806
FRT,113878321.88750978
FSLR,620254478.021313
FTNT,893843009.6460978
FTV,180758913.61980742
GD,421733066.0850404
GDDY,219712367.58424062
GE,1527510612.448314
GEHC,326545516.5185111
GEN,160642924.78664944
GEV,2871785748.1770835
GILD,995188156.311241
GIS,356777453.4888434
GL,112695041.17174906
GLW,2621513047.815038
GM,622373836.4003862
GNRC,246549103.32108754
GOOG,7940547299.737064
GOOGL,11703407092.330885
GPC,201464576.36688474
GPN,279400949.46433175
GRMN,229648111.3054548
GS,2238629917.4701023
GWW,405716925.0829303
HAL,428636324.00905365
HAS,191398189.23641387
HBAN,402011188.5908415
HCA,642293833.3125523
HD,1516314804.3395996
HIG,238735566.77476186
HII,151916872.8824676
HLT,682297945.144169
HON,1072603392.6727375
HONA,698409757.8034867
HOOD,2473178044.8311577
HPE,1248214597.0726922
HPQ,464226513.4553546
HRL,114666462.1288239
HSIC,115245031.0396467
HST,229184179.2568691
HSY,347193033.95378476
HUBB,303632657.2091655
HUM,521714115.4214526
HWM,719783457.3636252
IBKR,444936175.3079248
IBM,2810006988.3894176
ICE,643204652.4940491
IDXX,367550727.99789184
IEX,155882650.3387209
IFF,153796465.67256868
INCY,205173826.99531677
INTC,13530828535.331062
INTU,1633580814.572192
INVH,150874055.42772081
IP,207653195.8280987
IQV,306552677.38758874
IR,331916453.455159
IRM,217097307.12271798
ISRG,1214312189.6668935
IT,241140867.9477389
ITW,382971601.0117062
IVZ,146709394.32031238
J,140937832.0250254
JBHT,278313158.04666185
JBL,453033541.70086575
JCI,588373457.897925
JKHY,204163508.86776635
JNJ,2003010651.7653208
JPM,2934494297.5127687
KDP,436277294.666593
KEY,250752702.5296166
KEYS,519333098.0703687
KHC,346986964.721931
KIM,120474885.67905426
KKR,456731564.95859057
KLAC,2803902503.2364135
KMB,450235452.7290102
KMI,316818761.0392253
KO,1462355339.1908433
KR,466608444.1510942
KVUE,373670110.7490449
L,94565061.86441089
LDOS,193509913.98492238
LEN,228366398.16038343
LH,185711539.72984192
LHX,414976045.4087515
LII,240078542.4873473
LIN,1170766069.307212
LITE,4557039176.440139
LLY,3416491487.902929
LMT,667034572.142053
LNT,186397152.88211882
LOW,652694642.7405705
LRCX,3902860807.796127
LULU,404860652.48249596
LUV,278810609.8754883
LVS,224886838.69813585
LYB,311640793.2789757
LYV,412925822.72072446
MA,1828921135.1472402
MAA,138561186.17187986
MAR,596698081.1263311
MAS,187943590.90633088
MCD,1255840215.5986
MCHP,1024845920.3638712
MCK,899029984.8809136
MCO,449026210.9730554
MDLZ,549476984.589604
MDT,752644164.3010215
MET,337645076.84254724
META,10851895454.855783
MGM,176702538.91064477
MKC,195794175.01212832
MLM,341921072.38033235
MMM,603120175.3440009
MNST,532770696.7810797
MO,591024276.8094381
MOS,191922443.22803134
MPC,655107093.2227483
MPWR,1331802638.463968
MRK,1251522017.941587
MRNA,418019245.8383409
MRSH,451274630.43505955
MRVL,10348306521.72413
MS,1245761912.4889314
MSCI,420283454.2420402
MSFT,16776300413.961452
MSI,438893691.49034286
MTB,257638091.05302113
MTD,247583025.98605686
MU,47258383923.9442
NCLH,338609099.2379128
NDAQ,347969239.07603914
