t,cov_c,cov_p,med_c,cp_gap,me_cov,sd_dc,max_abs_dc,corr_dc_dp
AAPL,0.994,0.994,0.241,0.006,0.97,0.066,0.177,0.984
GOOGL,1.0,1.0,0.219,0.003,0.985,0.08,0.186,0.959
TSLA,1.0,1.0,0.43,-0.014,0.985,0.107,0.223,0.963
AMZN,1.0,1.0,0.271,0.003,0.985,0.11,0.284,0.976
NFLX,0.989,0.989,0.373,0.003,0.955,0.168,0.385,0.994
BAC,1.0,1.0,0.233,0.006,0.985,0.062,0.176,0.979
MSFT,1.0,1.0,0.208,0.004,0.985,0.075,0.151,0.965
C,1.0,1.0,0.226,0.007,0.985,0.066,0.178,0.91
MU,1.0,1.0,0.44,0.005,0.985,0.086,0.238,0.933
GILD,1.0,1.0,0.259,0.008,0.985,0.061,0.17,0.894
VZ,1.0,1.0,0.166,0.003,0.985,0.037,0.126,0.853
JPM,1.0,1.0,0.192,0.005,0.985,0.053,0.143,0.942
GE,0.992,0.992,0.203,0.005,0.955,0.063,0.175,0.951
XOM,1.0,1.0,0.175,0.004,0.985,0.04,0.117,0.855
V,0.991,0.991,0.192,0.003,0.955,0.059,0.131,0.947
INTC,1.0,1.0,0.233,0.003,0.985,0.07,0.186,0.959
EBAY,0.991,0.987,0.255,0.003,0.955,0.095,0.202,0.981
CSCO,1.0,1.0,0.203,0.004,0.985,0.072,0.188,0.955
GM,1.0,1.0,0.249,0.008,0.985,0.058,0.15,0.93
CMCSA,0.986,0.976,0.207,-0.001,0.955,0.051,0.14,0.82
WFC,1.0,1.0,0.196,0.007,0.985,0.055,0.18,0.945
IBM,1.0,1.0,0.187,0.008,0.985,0.069,0.184,0.979
ORCL,1.0,1.0,0.192,0.005,0.985,0.07,0.173,0.953
JNJ,1.0,1.0,0.148,0.003,0.985,0.04,0.146,0.892
QCOM,1.0,1.0,0.267,0.007,0.985,0.076,0.173,0.877
PFE,1.0,1.0,0.169,0.005,0.985,0.038,0.129,0.929
BA,1.0,1.0,0.226,0.006,0.985,0.062,0.137,0.952
DIS,1.0,1.0,0.195,0.006,0.985,0.049,0.162,0.896
PG,1.0,1.0,0.148,0.003,0.985,0.042,0.112,0.844
BIIB,0.999,0.997,0.319,0.005,0.985,0.074,0.213,0.918
MA,1.0,0.999,0.201,0.003,0.985,0.054,0.151,0.888
CVX,1.0,1.0,0.196,0.005,0.985,0.044,0.132,0.826
MRK,1.0,1.0,0.184,0.004,0.985,0.041,0.123,0.853
SLB,1.0,1.0,0.251,0.005,0.985,0.055,0.189,0.88
KO,1.0,1.0,0.144,0.005,0.985,0.032,0.086,0.831
GS,1.0,1.0,0.22,0.005,0.985,0.056,0.182,0.936
T,1.0,0.999,0.179,0.012,0.985,0.053,0.16,0.568
WMT,1.0,1.0,0.176,0.005,0.985,0.046,0.1,0.851
HD,1.0,1.0,0.186,0.005,0.985,0.05,0.157,0.938
CAT,1.0,1.0,0.247,0.003,0.985,0.058,0.153,0.918
DAL,1.0,1.0,0.298,0.006,0.985,0.058,0.169,0.822
MCD,1.0,1.0,0.168,0.005,0.985,0.038,0.079,0.8
HAL,1.0,1.0,0.301,0.005,0.985,0.06,0.18,0.882
CRM,1.0,1.0,0.291,0.001,0.985,0.082,0.229,0.91
AIG,1.0,0.999,0.2,0.0,0.985,0.063,0.25,0.901
WYNN,1.0,1.0,0.377,0.005,0.985,0.077,0.181,0.835
DD,0.106,0.103,0.286,0.002,0.09,0.05,0.069,0.665
BMY,0.999,1.0,0.236,0.004,0.985,0.06,0.171,0.887
SBUX,0.981,0.981,0.201,0.006,0.955,0.06,0.155,0.946
REGN,0.996,0.98,0.336,0.0,0.985,0.063,0.182,0.838
CMG,1.0,1.0,0.304,0.004,0.985,0.117,0.266,0.98
PEP,0.999,0.999,0.147,0.003,0.985,0.034,0.086,0.783
LVS,1.0,1.0,0.292,0.008,0.985,0.06,0.164,0.807
AMGN,1.0,1.0,0.232,0.002,0.985,0.054,0.156,0.903
UNH,1.0,0.998,0.201,0.0,0.985,0.054,0.143,0.876
AXP,1.0,0.999,0.192,0.003,0.985,0.063,0.166,0.927
UNP,0.994,0.989,0.221,0.004,0.97,0.047,0.111,0.795
F,1.0,1.0,0.24,0.008,0.985,0.068,0.192,0.757
MS,0.991,0.991,0.244,0.004,0.985,0.068,0.192,0.912
MDT,1.0,0.999,0.178,-0.002,0.985,0.042,0.156,0.763
