,weight,reference_close,whole_shares,notional
AMAT,0.05,417.3999938964844,11,4591.399932861328
AMD,0.05,545.0900268554688,9,4905.810241699219
CIEN,0.05,344.25,14,4819.5
COHR,0.05,295.9800109863281,16,4735.68017578125
DELL,0.05,588.4000244140625,8,4707.2001953125
FIX,0.05,1573.9599609375,3,4721.8798828125
FLEX,0.05,109.0199966430664,45,4905.899848937988
GLW,0.05,147.8000030517578,33,4877.400100708008
HPE,0.05,61.040000915527344,81,4944.240074157715
INTC,0.05,108.80000305175781,45,4896.000137329102
LITE,0.05,893.6099853515625,5,4468.0499267578125
LRCX,0.05,269.30999755859375,18,4847.5799560546875
MRNA,0.05,158.07000732421875,31,4900.170227050781
MRVL,0.05,240.75999450683594,20,4815.199890136719
MU,0.05,977.5,5,4887.5
SNDK,0.05,1614.3900146484375,3,4843.1700439453125
STX,0.05,803.1300048828125,6,4818.780029296875
TER,0.05,353.1300048828125,14,4943.820068359375
WBD,0.05,28.239999771118164,177,4998.479959487915
WDC,0.05,423.8699951171875,11,4662.5699462890625
