date,members,priced_members,uncovered
2007-01-03,514,0,238
2007-02-01,514,0,238
2007-03-01,514,0,238
2007-04-02,514,0,238
2007-05-01,514,0,238
2007-06-01,514,0,238
2007-07-02,514,0,237
2007-08-01,514,0,237
2007-09-04,514,0,237
2007-10-01,512,0,234
2007-11-01,512,0,233
2007-12-03,512,0,233
2008-01-02,511,0,231
2008-02-01,511,278,231
2008-03-03,511,278,231
2008-04-01,511,278,230
2008-05-01,511,278,230
2008-06-02,511,278,230
2008-07-01,510,279,228
2008-08-01,510,279,228
2008-09-02,510,279,228
2008-10-01,510,281,226
2008-11-03,510,281,226
2008-12-01,510,281,226
2009-01-02,509,282,225
2009-02-02,509,282,225
2009-03-02,509,282,225
2009-04-01,509,283,225
2009-05-01,509,283,225
2009-06-01,509,283,225
2009-07-01,508,285,223
2009-08-03,508,285,223
2009-09-01,509,285,224
2009-10-01,509,285,224
2009-11-02,509,285,224
2009-12-01,509,285,224
2010-01-04,508,285,223
2010-02-01,508,285,223
2010-03-01,508,286,222
2010-04-01,508,286,222
2010-05-03,508,286,222
2010-06-01,508,286,222
2010-07-01,508,286,222
2010-08-02,508,286,222
2010-09-01,508,287,221
2010-10-01,508,287,221
2010-11-01,508,287,221
2010-12-01,508,287,221
2011-01-03,507,289,218
2011-02-01,507,289,218
2011-03-01,506,289,217
2011-04-01,506,290,216
2011-05-02,506,291,215
2011-06-01,506,292,214
2011-07-01,506,292,214
2011-08-01,506,292,213
2011-09-01,506,292,213
2011-10-03,506,293,212
2011-11-01,506,295,210
2011-12-01,506,295,208
2012-01-03,506,296,207
2012-02-01,506,296,207
2012-03-01,506,296,207
2012-04-02,506,296,207
2012-05-01,506,297,206
2012-06-01,506,298,203
2012-07-02,506,301,201
2012-08-01,506,302,200
2012-09-04,506,302,200
2012-10-01,506,303,199
2012-11-01,506,306,197
2012-12-03,506,307,197
2013-01-02,505,309,194
2013-02-01,505,309,194
2013-03-01,505,309,193
2013-04-01,505,309,193
2013-05-01,505,310,193
2013-06-03,505,312,192
2013-07-01,505,313,190
2013-08-01,505,313,189
2013-09-03,505,313,189
2013-10-01,505,314,188
2013-11-01,505,315,187
2013-12-02,504,315,185
2014-01-02,503,316,184
2014-02-03,502,316,184
2014-03-03,502,316,184
2014-04-01,502,317,183
2014-05-01,503,319,182
2014-06-02,502,319,181
2014-07-01,502,321,180
2014-08-01,502,321,180
2014-09-02,503,322,180
2014-10-01,503,322,180
2014-11-03,503,322,180
2014-12-01,503,325,178
2015-01-02,503,324,179
2015-02-02,503,325,178
2015-03-02,503,325,178
2015-04-01,503,328,175
2015-05-01,504,329,175
2015-06-01,504,329,175
2015-07-01,504,330,174
2015-08-03,504,331,171
2015-09-01,504,331,171
2015-10-01,504,332,170
2015-11-02,507,334,171
2015-12-01,507,335,169
2016-01-04,506,335,168
2016-02-01,506,337,166
2016-03-01,506,339,164
2016-04-01,506,341,162
2016-05-02,507,343,161
2016-06-01,507,345,159
2016-07-01,507,347,157
2016-08-01,507,351,155
2016-09-01,507,351,155
2016-10-03,507,354,151
2016-11-01,507,355,151
2016-12-01,507,355,151
2017-01-03,507,355,151
2017-02-01,507,356,150
2017-03-01,507,358,148
2017-04-03,507,361,145
2017-05-01,507,363,143
2017-06-01,507,363,143
2017-07-03,507,364,142
2017-08-01,506,368,138
2017-09-01,506,372,134
2017-10-02,506,372,134
2017-11-01,506,373,133
2017-12-01,506,374,132
2018-01-02,506,374,132
2018-02-01,506,375,131
2018-03-01,506,375,131
2018-04-02,506,376,130
2018-05-01,506,377,129
2018-06-01,506,378,128
2018-07-02,506,380,126
2018-08-01,506,380,126
2018-09-04,506,381,125
2018-10-01,506,382,124
2018-11-01,506,383,123
2018-12-03,506,385,121
2019-01-02,506,386,120
2019-02-01,506,386,120
2019-03-01,506,386,120
2019-04-01,506,387,117
2019-05-01,506,387,117
2019-06-03,506,387,116
2019-07-01,506,389,113
2019-08-01,506,389,113
2019-09-03,506,390,112
2019-10-01,506,393,109
2019-11-01,506,394,108
2019-12-02,506,395,107
2020-01-02,506,398,104
2020-02-03,506,401,101
2020-03-02,506,401,101
2020-04-01,506,405,100
2020-05-01,508,406,99
2020-06-01,506,409,95
2020-07-01,506,410,94
2020-08-03,506,410,94
2020-09-01,506,410,94
2020-10-01,506,412,92
2020-11-02,507,413,92
2020-12-01,507,413,92
2021-01-04,506,413,91
2021-02-01,506,414,90
2021-03-01,506,415,89
2021-04-01,506,418,88
2021-05-03,506,420,86
2021-06-01,506,421,85
2021-07-01,507,422,85
2021-08-02,506,422,84
2021-09-01,506,423,83
2021-10-01,506,424,82
2021-11-01,506,424,82
2021-12-01,506,424,82
2022-01-03,506,425,81
2022-02-01,506,426,80
2022-03-01,506,427,78
2022-04-01,506,428,77
2022-05-02,506,429,76
2022-06-01,506,429,76
2022-07-01,505,431,73
2022-08-01,505,431,73
2022-09-01,505,431,73
2022-10-03,504,435,68
2022-11-01,504,438,65
2022-12-01,504,438,65
2023-01-03,504,440,63
2023-02-01,505,442,62
2023-03-01,505,442,62
2023-04-03,504,444,59
2023-05-01,504,444,59
2023-06-01,504,445,58
2023-07-03,504,446,57
2023-08-01,504,446,57
2023-09-01,504,447,56
2023-10-02,504,449,53
2023-11-01,504,449,52
2023-12-01,504,449,52
2024-01-02,504,452,50
2024-02-01,504,455,47
2024-03-01,504,455,47
2024-04-01,504,458,44
2024-05-01,506,458,44
2024-06-03,504,459,42
2024-07-01,504,460,41
2024-08-01,504,460,41
2024-09-03,504,460,41
2024-10-01,505,466,36
2024-11-01,505,467,36
2024-12-02,504,467,35
2025-01-02,504,468,34
2025-02-03,504,468,34
2025-03-03,504,468,34
2025-04-01,504,473,31
2025-05-01,504,473,31
2025-06-02,504,477,27
2025-07-01,504,477,27
2025-08-01,504,480,24
2025-09-02,504,481,23
2025-10-01,504,482,22
2025-11-03,504,485,19
2025-12-01,504,484,18
2026-01-02,504,485,16
2026-02-02,504,485,16
2026-03-02,504,490,13
2026-04-01,504,491,12
2026-05-01,503,494,8
2026-06-01,503,496,6
2026-07-01,504,498,3
2026-08-03,504,498,3
2026-09-01,503,499,1
