,cash_basis,mtm_rf,rf_index,spy_control,universe_control
2021-08-11,1.0,1.0,1.0,1.0,1.0
2021-08-12,1.0,1.0,1.0,1.0,1.0
2021-08-13,1.0,1.0,1.0,1.0,1.0
2021-08-16,1.0,1.0,1.0,1.0,1.0
2021-08-17,1.0,1.0,1.0,1.0,1.0
2021-08-18,1.0,1.0,1.0,1.0,1.0
2021-08-19,1.0,1.0,1.0,1.0,1.0
2021-08-20,1.0,1.0,1.0,1.0,1.0
2021-08-23,1.0,1.0,1.0,1.0,1.0
2021-08-24,1.0,1.0,1.0,1.0,1.0
2021-08-25,1.0,1.0,1.0,1.0,1.0
2021-08-26,1.0,1.0,1.0,1.0,1.0
2021-08-27,1.0,1.0,1.0,1.0,1.0
2021-08-30,1.0,1.0,1.0,1.0,1.0
2021-08-31,1.0,1.0,1.0,1.0,1.0
2021-09-01,1.0,1.0,1.0,1.0,1.0
2021-09-02,1.0,1.0,1.0,1.0,1.0
2021-09-03,1.0,1.0,1.0,1.0,1.0
2021-09-07,1.0,1.0,1.0,1.0,1.0
2021-09-08,1.0,1.0,1.0,1.0,1.0
2021-09-09,1.0,1.0,1.0,1.0,1.0
2021-09-10,1.0,1.0,1.0,1.0,1.0
2021-09-13,1.0,1.0,1.0,1.0,1.0
2021-09-14,1.0,1.0,1.0,1.0,1.0
2021-09-15,1.0,1.0,1.0,1.0,1.0
2021-09-16,1.0,1.0,1.0,1.0,1.0
2021-09-17,1.0,1.0,1.0,1.0,1.0
2021-09-20,1.0,1.0,1.0,1.0,1.0
2021-09-21,1.0,1.0,1.0,1.0,1.0
2021-09-22,1.0,1.0,1.0,1.0,1.0
2021-09-23,1.0,0.9999796555503554,1.0,0.9999796555503554,0.9999796555503554
2021-09-24,1.0,0.9995324211558346,1.0,1.0000466819630336,0.9999923034576562
2021-09-27,1.0,0.9989725031371584,1.0,0.9999300805086107,1.000052337230303
2021-09-28,1.0,0.9977506528880098,1.0,0.9991111211390782,0.9993936314467492
2021-09-29,1.0,0.9976699892990294,1.0,0.9991781445635081,0.9994394134963913
2021-09-30,1.0,0.9972417459079305,1.0,0.9986906327470312,0.9988838437621181
2021-10-01,1.0,0.9978277613171033,1.0,0.9991588673727729,0.9993467802846842
2021-10-04,1.0,0.9971907466674305,1.0,0.9986447242861317,0.999034873441235
2021-10-05,1.0,0.9978586015425814,1.0,0.9990541950061526,0.9993719701298287
2021-10-06,1.0,0.997866903470149,1.0,0.9992194570982953,0.9994624476292072
2021-10-07,1.0,0.9979926554530476,1.0,0.9995646715119488,0.9998329794830155
2021-10-08,1.0,0.997866903470149,1.0,0.9994912203651083,0.9997391040217677
2021-10-11,1.0,0.9980223198015278,1.0,0.9992001799075603,0.9995103380767584
2021-10-12,1.0,0.9981634722336706,1.0,0.9991019442280958,0.9995349079583912
2021-10-13,1.0,0.9985751432312264,1.0,0.999245162011441,0.9996726482185209
2021-10-14,1.0,0.9996157213357576,1.0,0.9999036501250456,1.0003602970856142
2021-10-15,1.0,1.0004445450682928,1.0,1.000419862043615,1.0006023370097852
2021-10-18,1.0,1.0003834885155696,1.0,1.0006220760808884,1.000651490549781
