,cash_basis,mtm_rf,rf_index,spy_control,universe_control
2021-08-11,1.0,1.0,1.0,1.0,1.0
2021-08-12,1.0,1.0,1.0,1.0,1.0
2021-08-13,1.0,1.0,1.0,1.0,1.0
2021-08-16,1.0,1.0,1.0,1.0,1.0
2021-08-17,1.0,1.0,1.0,1.0,1.0
2021-08-18,1.0,0.999975,1.0,0.999975,0.999975
2021-08-19,1.0,1.0001138752868324,1.0,1.0000524182496962,0.9998277874876447
2021-08-20,1.0,1.0016241266982817,1.0,1.0004508884121468,1.0001960307064706
2021-08-23,1.0,1.001267162934897,1.0,1.000894900252165,1.000601475538848
2021-08-24,1.0,1.0007338070607779,1.0,1.0009664112766576,1.0008710097039948
2021-08-25,1.0,1.0011948698056348,1.0,1.0011125337512323,1.0012434836199375
2021-08-26,1.0,1.0003079365752419,1.0,1.0006839605463385,1.000739004997724
2021-08-27,1.0,1.0001763894264568,1.0,1.0016021448282981,1.001863197565111
2021-08-30,1.0,0.9999548182660309,1.0,1.002057803058046,1.0017457175146274
2021-08-31,1.0,0.999484720958551,1.0,1.0019036001558697,1.0017569780476598
2021-09-01,1.0,0.9991200450847956,1.0,1.001946343296733,1.0017584483405713
2021-09-02,1.0,0.99879962185672,1.0,1.0023389657129038,1.0025847478662244
2021-09-03,1.0,0.9979675804935286,1.0,1.0023055225250586,1.002171999532653
2021-09-07,1.0,0.9966163480189271,1.0,1.001813319357284,1.000970280440003
2021-09-08,1.0,0.9980130136661046,1.0,1.001646212547416,1.0008134572711456
2021-09-09,1.0,0.9971863390500744,1.0,1.0010473208227137,1.0004604177355936
2021-09-10,1.0,0.9974035576388532,1.0,0.9997746048992465,0.9994340670967796
2021-09-13,1.0,0.9977960668005688,1.0,1.000184447647093,1.0000368524325123
2021-09-14,1.0,0.9966646837753481,1.0,0.9993180293017688,0.9988254913570234
2021-09-15,1.0003384482959081,0.9966143887820368,1.0,1.0006263513324076,1.0002997861892011
2021-09-16,1.0003384482959081,0.9976379473953946,1.0,1.000451929922445,1.0001304048456139
2021-09-17,1.0003384482959081,0.9972228905181224,1.0,0.999381817993884,0.9992700414430519
2021-09-20,1.0003384482959081,0.9959995237023849,1.0,0.9975679043159313,0.9975837499394045
2021-09-21,0.9981854813273655,0.9956750323755835,1.0,0.9974578016091616,0.9973640453066333
2021-09-22,0.9981854813273655,0.9960103883410281,1.0,0.9983145059466001,0.9983637692183558
2021-09-23,0.9970374906694903,0.9959806961958492,1.0,0.9996005748236587,0.9997915169854623
2021-09-24,0.9970374906694903,0.9958662354428165,1.0,0.999754946654422,0.9998106251080742
2021-09-27,0.9970374906694903,0.9945752424943017,1.0,0.9993934027526025,0.9999972436316915
2021-09-28,0.9970374906694903,0.9918784926735779,1.0,0.9968540710833904,0.9979496178469817
2021-09-29,0.9954395579094917,0.9921295112286567,1.0,0.9970298484180881,0.998059767155237
2021-09-30,0.9946995678986663,0.991392489912538,1.0,0.9953037771945049,0.9960961542278814
2021-10-01,0.9946995678986663,0.99319822594224,1.0,0.9972469581642058,0.9980149190826703
2021-10-04,0.9946995678986663,0.9923471574116297,1.0,0.9951132563686971,0.9967221373296531
