,B1_beta_hedged,B1_beta_hedged,B2_vol_managed,B3_pead_tsmom,B3_pead_tsmom,B4_pead_3sleeves,B4_pead_3sleeves,B4_pead_3sleeves,B4_pead_3sleeves,B5_hedged_3sleeves,B5_hedged_3sleeves,B5_hedged_3sleeves,B5_hedged_3sleeves,B5_hedged_3sleeves
,w_H,w_P,w_P,w_P,w_tsmom_broad,w_P,w_bond_carry,w_fx_carry,w_tsmom_broad,w_H,w_P,w_bond_carry,w_fx_carry,w_tsmom_broad
2021-08-12,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-08-13,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-08-16,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-08-17,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-08-18,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-08-19,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-08-20,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-08-23,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-08-24,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-08-25,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-08-26,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-08-27,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-08-30,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-08-31,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-09-01,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-09-02,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-09-03,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-09-07,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-09-08,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-09-09,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-09-10,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-09-13,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-09-14,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-09-15,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-09-16,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-09-17,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-09-20,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-09-21,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-09-22,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-09-23,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-09-24,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-09-27,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-09-28,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-09-29,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-09-30,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-10-01,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-10-04,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-10-05,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-10-06,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-10-07,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-10-08,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-10-11,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-10-12,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-10-13,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-10-14,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-10-15,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-10-18,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-10-19,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-10-20,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-10-21,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-10-22,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-10-25,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-10-26,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-10-27,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-10-28,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-10-29,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-11-01,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-11-02,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-11-03,0.0,1.0000002848450253,1.0000002848450253,1.0000002848450253,0.0,1.0000002848450253,0.0,0.0,0.0,0.0,1.0000002848450253,0.0,0.0,0.0
2021-11-04,0.0,1.0000004216688587,1.0000004216688587,1.0000004216688587,0.0,1.0000004216688587,0.0,0.0,0.0,0.0,1.0000004216688587,0.0,0.0,0.0
2021-11-05,0.0,1.000000744282064,1.000000744282064,1.000000744282064,0.0,1.000000744282064,0.0,0.0,0.0,0.0,1.000000744282064,0.0,0.0,0.0
2021-11-08,0.0,1.0000009019532095,1.0000009019532095,1.0000009019532095,0.0,1.0000009019532095,0.0,0.0,0.0,0.0,1.0000009019532095,0.0,0.0,0.0
2021-11-09,0.0,1.0000017558488248,1.0000017558488248,1.0000017558488248,0.0,1.0000017558488248,0.0,0.0,0.0,0.0,1.0000017558488248,0.0,0.0,0.0
2021-11-10,0.0,1.0000017494054743,1.0000017494054743,1.0000017494054743,0.0,1.0000017494054743,0.0,0.0,0.0,0.0,1.0000017494054743,0.0,0.0,0.0
2021-11-11,0.0,1.0000017443958051,1.0000017443958051,1.0000017443958051,0.0,1.0000017443958051,0.0,0.0,0.0,0.0,1.0000017443958051,0.0,0.0,0.0
2021-11-12,0.0,1.0000017396026426,1.0000017396026426,1.0000017396026426,0.0,1.0000017396026426,0.0,0.0,0.0,0.0,1.0000017396026426,0.0,0.0,0.0
2021-11-15,0.0,1.0000017320191965,1.0000017320191965,1.0000017320191965,0.0,1.0000017320191965,0.0,0.0,0.0,0.0,1.0000017320191965,0.0,0.0,0.0
2021-11-16,0.0,1.0000017396008645,1.0000017396008645,1.0000017396008645,0.0,1.0000017396008645,0.0,0.0,0.0,0.0,1.0000017396008645,0.0,0.0,0.0
2021-11-17,0.0,1.0000017375437895,1.0000017375437895,1.0000017375437895,0.0,1.0000017375437895,0.0,0.0,0.0,0.0,1.0000017375437895,0.0,0.0,0.0
2021-11-18,0.0,1.0000017380597994,1.0000017380597994,1.0000017380597994,0.0,1.0000017380597994,0.0,0.0,0.0,0.0,1.0000017380597994,0.0,0.0,0.0
2021-11-19,0.0,1.000001735694686,1.000001735694686,1.000001735694686,0.0,1.000001735694686,0.0,0.0,0.0,0.0,1.000001735694686,0.0,0.0,0.0
2021-11-22,0.0,1.0000017332506315,1.0000017332506315,1.0000017332506315,0.0,1.0000017332506315,0.0,0.0,0.0,0.0,1.0000017332506315,0.0,0.0,0.0
2021-11-23,0.0,1.0000017341417349,1.0000017341417349,1.0000017341417349,0.0,1.0000017341417349,0.0,0.0,0.0,0.0,1.0000017341417349,0.0,0.0,0.0
2021-11-24,0.0,1.0000017344347796,1.0000017344347796,1.0000017344347796,0.0,1.0000017344347796,0.0,0.0,0.0,0.0,1.0000017344347796,0.0,0.0,0.0
