,B1_beta_hedged,B1_beta_hedged,B2_vol_managed,B3_pead_tsmom,B3_pead_tsmom,B4_pead_3sleeves,B4_pead_3sleeves,B4_pead_3sleeves,B4_pead_3sleeves,B5_hedged_3sleeves,B5_hedged_3sleeves,B5_hedged_3sleeves,B5_hedged_3sleeves,B5_hedged_3sleeves
,w_H,w_P,w_P,w_P,w_tsmom_broad,w_P,w_bond_carry,w_fx_carry,w_tsmom_broad,w_H,w_P,w_bond_carry,w_fx_carry,w_tsmom_broad
date,,,,,,,,,,,,,,
2004-01-02,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2004-01-05,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2004-01-06,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2004-01-07,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2004-01-08,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2004-01-09,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2004-01-12,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2004-01-13,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2004-01-14,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2004-01-15,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2004-01-16,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2004-01-20,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2004-01-21,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2004-01-22,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2004-01-23,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2004-01-26,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2004-01-27,0.0,1.0000000157302973,1.0000000157302973,1.0000000157302973,0.0,1.0000000157302973,0.0,0.0,0.0,0.0,1.0000000157302973,0.0,0.0,0.0
2004-01-28,0.0,1.0000000158583224,1.0000000158583224,1.0000000158583224,0.0,1.0000000158583224,0.0,0.0,0.0,0.0,1.0000000158583224,0.0,0.0,0.0
2004-01-29,0.0,1.0000000160559042,1.0000000160559042,1.0000000160559042,0.0,1.0000000160559042,0.0,0.0,0.0,0.0,1.0000000160559042,0.0,0.0,0.0
2004-01-30,0.0,1.0000000160819138,1.0000000160819138,1.0000000160819138,0.0,1.0000000160819138,0.0,0.0,0.0,0.0,1.0000000160819138,0.0,0.0,0.0
2004-02-02,0.0,1.0000000160883902,1.0000000160883902,1.0000000160883902,0.0,1.0000000160883902,0.0,0.0,0.0,0.0,1.0000000160883902,0.0,0.0,0.0
2004-02-03,0.0,1.000000027372986,1.000000027372986,1.000000027372986,0.0,1.000000027372986,0.0,0.0,0.0,0.0,1.000000027372986,0.0,0.0,0.0
2004-02-04,0.0,1.000000041362781,1.000000041362781,1.000000041362781,0.0,1.000000041362781,0.0,0.0,0.0,0.0,1.000000041362781,0.0,0.0,0.0
2004-02-05,0.0,1.0000001010741466,1.0000001010741466,1.0000001010741466,0.0,1.0000001010741466,0.0,0.0,0.0,0.0,1.0000001010741466,0.0,0.0,0.0
2004-02-06,0.0,1.0000001003133203,1.0000001003133203,1.0000001003133203,0.0,1.0000001003133203,0.0,0.0,0.0,0.0,1.0000001003133203,0.0,0.0,0.0
2004-02-09,0.0,1.0000000989907059,1.0000000989907059,1.0000000989907059,0.0,1.0000000989907059,0.0,0.0,0.0,0.0,1.0000000989907059,0.0,0.0,0.0
2004-02-10,0.0,1.0000001434588282,1.0000001434588282,1.0000001434588282,0.0,1.0000001434588282,0.0,0.0,0.0,0.0,1.0000001434588282,0.0,0.0,0.0
2004-02-11,0.0,1.0000001431165948,1.0000001431165948,1.0000001431165948,0.0,1.0000001431165948,0.0,0.0,0.0,0.0,1.0000001431165948,0.0,0.0,0.0
2004-02-12,0.0,1.0000002123939447,1.0000002123939447,1.0000002123939447,0.0,1.0000002123939447,0.0,0.0,0.0,0.0,1.0000002123939447,0.0,0.0,0.0
2004-02-13,0.0,1.0000002128054089,1.0000002128054089,1.0000002128054089,0.0,1.0000002128054089,0.0,0.0,0.0,0.0,1.0000002128054089,0.0,0.0,0.0
2004-02-17,0.0,1.0000002142340416,1.0000002142340416,1.0000002142340416,0.0,1.0000002142340416,0.0,0.0,0.0,0.0,1.0000002142340416,0.0,0.0,0.0
2004-02-18,0.0,1.0000002121483107,1.0000002121483107,1.0000002121483107,0.0,1.0000002121483107,0.0,0.0,0.0,0.0,1.0000002121483107,0.0,0.0,0.0
2004-02-19,0.0,1.0000002484710242,1.0000002484710242,1.0000002484710242,0.0,1.0000002484710242,0.0,0.0,0.0,0.0,1.0000002484710242,0.0,0.0,0.0
2004-02-20,0.0,1.0000002502168144,1.0000002502168144,1.0000002502168144,0.0,1.0000002502168144,0.0,0.0,0.0,0.0,1.0000002502168144,0.0,0.0,0.0
2004-02-23,0.0,1.0000002514189057,1.0000002514189057,1.0000002514189057,0.0,1.0000002514189057,0.0,0.0,0.0,0.0,1.0000002514189057,0.0,0.0,0.0
2004-02-24,0.0,1.0000002527312666,1.0000002527312666,1.0000002527312666,0.0,1.0000002527312666,0.0,0.0,0.0,0.0,1.0000002527312666,0.0,0.0,0.0
2004-02-25,0.0,1.0000002535495862,1.0000002535495862,1.0000002535495862,0.0,1.0000002535495862,0.0,0.0,0.0,0.0,1.0000002535495862,0.0,0.0,0.0
2004-02-26,0.0,1.0000003245427882,1.0000003245427882,1.0000003245427882,0.0,1.0000003245427882,0.0,0.0,0.0,0.0,1.0000003245427882,0.0,0.0,0.0
2004-02-27,0.0,1.0000004185315259,1.0000004185315259,1.0000004185315259,0.0,1.0000004185315259,0.0,0.0,0.0,0.0,1.0000004185315259,0.0,0.0,0.0
2004-03-01,0.0,1.000000482213264,1.000000482213264,1.000000482213264,0.0,1.000000482213264,0.0,0.0,0.0,0.0,1.000000482213264,0.0,0.0,0.0
2004-03-02,0.0,1.0000005794112456,1.0000005794112456,1.0000005794112456,0.0,1.0000005794112456,0.0,0.0,0.0,0.0,1.0000005794112456,0.0,0.0,0.0
2004-03-03,0.0,1.0000006754927537,1.0000006754927537,1.0000006754927537,0.0,1.0000006754927537,0.0,0.0,0.0,0.0,1.0000006754927537,0.0,0.0,0.0
2004-03-04,0.0,1.0000006754860309,1.0000006754860309,1.0000006754860309,0.0,1.0000006754860309,0.0,0.0,0.0,0.0,1.0000006754860309,0.0,0.0,0.0
2004-03-05,0.0,1.0000006731546562,1.0000006731546562,1.0000006731546562,0.0,1.0000006731546562,0.0,0.0,0.0,0.0,1.0000006731546562,0.0,0.0,0.0
2004-03-08,0.0,1.0000006738101785,1.0000006738101785,1.0000006738101785,0.0,1.0000006738101785,0.0,0.0,0.0,0.0,1.0000006738101785,0.0,0.0,0.0
2004-03-09,0.0,1.000000752780698,1.000000752780698,1.000000752780698,0.0,1.000000752780698,0.0,0.0,0.0,0.0,1.000000752780698,0.0,0.0,0.0
2004-03-10,0.0,1.000000759267444,1.000000759267444,1.000000759267444,0.0,1.000000759267444,0.0,0.0,0.0,0.0,1.000000759267444,0.0,0.0,0.0
2004-03-11,0.0,1.0000007650853366,1.0000007650853366,1.0000007650853366,0.0,1.0000007650853366,0.0,0.0,0.0,0.0,1.0000007650853366,0.0,0.0,0.0
2004-03-12,0.0,1.0000007733743908,1.0000007733743908,1.0000007733743908,0.0,1.0000007733743908,0.0,0.0,0.0,0.0,1.0000007733743908,0.0,0.0,0.0
2004-03-15,0.0,1.0000007695140167,1.0000007695140167,1.0000007695140167,0.0,1.0000007695140167,0.0,0.0,0.0,0.0,1.0000007695140167,0.0,0.0,0.0
2004-03-16,0.0,1.0000007780045443,1.0000007780045443,1.0000007780045443,0.0,1.0000007780045443,0.0,0.0,0.0,0.0,1.0000007780045443,0.0,0.0,0.0
2004-03-17,0.0,1.0000007805353979,1.0000007805353979,1.0000007805353979,0.0,1.0000007805353979,0.0,0.0,0.0,0.0,1.0000007805353979,0.0,0.0,0.0
2004-03-18,0.0,1.0000007754951545,1.0000007754951545,1.0000007754951545,0.0,1.0000007754951545,0.0,0.0,0.0,0.0,1.0000007754951545,0.0,0.0,0.0
2004-03-19,0.0,1.000000776117722,1.000000776117722,1.000000776117722,0.0,1.000000776117722,0.0,0.0,0.0,0.0,1.000000776117722,0.0,0.0,0.0
2004-03-22,0.0,1.0000007774450064,1.0000007774450064,1.0000007774450064,0.0,1.0000007774450064,0.0,0.0,0.0,0.0,1.0000007774450064,0.0,0.0,0.0
2004-03-23,0.0,1.0000007800267263,1.0000007800267263,1.0000007800267263,0.0,1.0000007800267263,0.0,0.0,0.0,0.0,1.0000007800267263,0.0,0.0,0.0
2004-03-24,0.0,1.0000007796861794,1.0000007796861794,1.0000007796861794,0.0,1.0000007796861794,0.0,0.0,0.0,0.0,1.0000007796861794,0.0,0.0,0.0
2004-03-25,0.0,1.00000077933296,1.00000077933296,1.00000077933296,0.0,1.00000077933296,0.0,0.0,0.0,0.0,1.00000077933296,0.0,0.0,0.0
2004-03-26,0.0,1.000000774794961,1.000000774794961,1.000000774794961,0.0,1.000000774794961,0.0,0.0,0.0,0.0,1.000000774794961,0.0,0.0,0.0
2004-03-29,0.0,1.0000007757419833,1.0000007757419833,1.0000007757419833,0.0,1.0000007757419833,0.0,0.0,0.0,0.0,1.0000007757419833,0.0,0.0,0.0
2004-03-30,0.0,1.0000007740529775,1.0000007740529775,1.0000007740529775,0.0,1.0000007740529775,0.0,0.0,0.0,0.0,1.0000007740529775,0.0,0.0,0.0
2004-03-31,0.0,1.0000007731133829,1.0000007731133829,1.0000007731133829,0.0,1.0000007731133829,0.0,0.0,0.0,0.0,1.0000007731133829,0.0,0.0,0.0
2004-04-01,0.0,1.0000007725137796,1.0000007725137796,1.0000007725137796,0.0,1.0000007725137796,0.0,0.0,0.0,0.0,1.0000007725137796,0.0,0.0,0.0
2004-04-02,0.0,1.000000772076042,1.000000772076042,1.000000772076042,0.0,1.000000772076042,0.0,0.0,0.0,0.0,1.000000772076042,0.0,0.0,0.0
2004-04-05,0.0,1.000000771278007,1.000000771278007,1.000000771278007,0.0,1.000000771278007,0.0,0.0,0.0,0.0,1.000000771278007,0.0,0.0,0.0
2004-04-06,0.0,1.0000007705741505,1.0000007705741505,1.0000007705741505,0.0,1.0000007705741505,0.0,0.0,0.0,0.0,1.0000007705741505,0.0,0.0,0.0
2004-04-07,0.0,1.0000007713261103,1.0000007713261103,1.0000007713261103,0.0,1.0000007713261103,0.0,0.0,0.0,0.0,1.0000007713261103,0.0,0.0,0.0
