date,return,nav,cost,turnover,gross
2025-07-01,-8.328517809630398e-06,0.9999916714821904,0.0004997501249375313,0.9995002498750625,1.0
2025-07-02,0.004157869574236361,1.0041495064275359,2.391218761660691e-06,0.004782437523321382,1.0
2025-07-03,0.0006642761865460756,1.0048165390323878,0.0,0.0,1.0
2025-07-07,-0.008168485268859715,0.9966087099353951,0.0,0.0,1.0000000000000002
2025-07-08,0.0013048008930827137,0.9979090858701728,0.0,0.0,1.0000000000000002
2025-07-09,0.001307361201961621,0.9992137134921245,0.0,0.0,1.0000000000000002
2025-07-10,0.0021273907928116564,1.0013394315462587,0.0,0.0,1.0
2025-07-11,-0.001486429798979616,0.999851010776315,0.0,0.0,1.0000000000000002
2025-07-14,-5.5535616874768934e-05,0.9997954834336487,0.0,0.0,1.0000000000000002
2025-07-15,-0.0037386199634706907,0.9960576280798958,0.0,0.0,1.0000000000000002
2025-07-16,0.0041047763644332935,1.0001462218892516,0.0,0.0,1.0
2025-07-17,0.00200483889432701,1.0021513539349094,0.0,0.0,1.0
2025-07-18,0.00011950142078243076,1.0022711124455437,0.0,0.0,1.0
2025-07-21,0.0023848118101130744,1.004661340431439,0.0,0.0,1.0
2025-07-22,0.00280046652989685,1.0074748608891986,0.0,0.0,1.0
2025-07-23,0.0040329126632023815,1.0115379190135367,0.0,0.0,1.0
2025-07-24,-0.0027978076346076852,1.0087078305010255,0.0,0.0,1.0
2025-07-25,-0.0026715122377097833,1.0060130551875683,0.0,0.0,1.0
2025-07-28,-0.004704189023724048,1.0012805796156319,0.0,0.0,1.0
2025-07-29,0.0030346698906744685,1.0043191356427086,0.0,0.0,1.0
2025-07-30,-0.0062762514642987766,0.9980157761970078,0.0,0.0,1.0000000000000002
2025-07-31,-0.003874373777871809,0.9941490900438077,0.0,0.0,1.0000000000000002
2025-08-01,-0.001151469850951936,0.993004357339271,0.0,0.0,1.0000000000000002
2025-08-04,0.00527510153677313,0.9982425561506938,8.82673115169939e-06,0.01765346230339878,1.0000000000000002
2025-08-05,0.0010676210561679778,0.9993083009228033,0.0,0.0,1.0000000000000002
2025-08-06,0.003854896335029112,1.0031605308295948,0.0,0.0,1.0
2025-08-07,0.003050774112292487,1.0062209470075234,0.0,0.0,1.0
2025-08-08,-0.0004340318055878756,1.0057842151130734,0.0,0.0,1.0
2025-08-11,-0.0023559382364141124,1.0034146496231067,0.0,0.0,1.0
2025-08-12,0.004818317184531518,1.0082494196725964,0.0,0.0,1.0
2025-08-13,0.0043241663127839836,1.0126092578480286,0.0,0.0,1.0
2025-08-14,-0.0037663249615245142,1.0087954423239247,0.0,0.0,1.0
2025-08-15,0.0008875941740200677,1.0096908432813094,0.0,0.0,1.0
2025-08-18,-0.00039521151204913174,1.009291801836434,0.0,0.0,1.0
2025-08-19,-0.005516809060706063,1.0037237316791665,0.0,0.0,1.0
2025-08-20,0.0017040412397122395,1.0054341183112256,0.0,0.0,1.0
2025-08-21,-0.0010605091584654502,1.004367846220523,0.0,0.0,1.0
