date,return,nav,gross,turnover,trading_cost,borrow,funding,interest
2015-01-02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-16,-0.0009104033773881248,0.9990895966226119,0.6772804455196315,0.6664445184938353,0.00033322225924691765,4.030956658727056e-05,0.0,0.0
2015-01-20,0.0004021609461259956,0.9994913914400543,0.675876880945067,0.0,0.0,4.026937000412593e-05,0.0,0.0
2015-01-21,-0.0005447024708744586,0.9989469660095192,0.6906051526481957,0.0,0.0,4.110576368712443e-05,0.0,0.0
2015-01-22,0.0002607069738176371,0.9992073984500318,0.7125377379074038,0.0,0.0,4.246559498755588e-05,0.0,0.0
2015-01-23,-0.0006691294996310493,0.9985387993034793,0.7198097622662002,0.0,0.0,4.288559455550961e-05,0.0,0.0
2015-01-26,-0.0003478044175295736,0.9981915030980069,0.7134255687636583,0.0,0.0,4.2496528613607525e-05,0.0,0.0
2015-01-27,0.000724465890676651,0.9989146587943647,0.6915513943339145,0.0,0.0,4.1222413521276486e-05,0.0,0.0
2015-01-28,-9.072280495192597e-05,0.9988240344546113,0.6800477722753083,0.0,0.0,4.0515691469772954e-05,0.0,0.0
2015-01-29,4.947578719693979e-05,0.9988734520599872,0.6809849333319508,0.0,0.0,4.057639513564985e-05,0.0,0.0
2015-01-30,0.00016317648343067148,0.9990364447172866,0.712912127329669,0.0,0.0,4.2439950962125457e-05,0.0,0.0
2015-02-02,0.0004406146847566461,0.999476634845436,0.7050258583496075,0.0,0.0,4.198024464702802e-05,0.0,0.0
2015-02-03,0.00018019307450356514,0.9996567336131632,0.70613422549114,0.0,0.0,4.205984785675642e-05,0.0,0.0
2015-02-04,-0.0004916088626386594,0.9991652935033226,0.6973871212531705,0.0,0.0,4.14928843981257e-05,0.0,0.0
2015-02-05,-0.0007843545851395906,0.998381593624051,0.7036261522863801,0.0,0.0,4.18695787907138e-05,0.0,0.0
2015-02-06,0.00036142098745894913,0.9987424296854794,0.7083395971473927,0.0,0.0,4.2164948707507225e-05,0.0,0.0
2015-02-09,-0.0009769948396640693,0.9977666634855231,0.7038617866204971,0.0,0.0,4.192368102932195e-05,0.0,0.0
2015-02-10,0.0010941379242905835,0.9988583578316356,0.7163843145501673,0.0,0.0,4.265521272125511e-05,0.0,0.0
2015-02-11,-0.0008274866675468395,0.9980318158577621,0.7148966332835491,0.0,0.0,4.2536463064091494e-05,0.0,0.0
2015-02-12,0.0006246026267189286,0.9986551891514959,0.7244069227268307,0.0,0.0,4.3148762420651116e-05,0.0,0.0
2015-02-13,-0.0006857005240070713,0.9979704107649923,0.7323818625034462,0.0,0.0,4.358435822273331e-05,0.0,0.0
2015-02-17,-4.133622416468974e-06,0.9979662855321314,0.7241832650009887,0.0,0.0,4.309217662478383e-05,0.0,0.0
2015-02-18,0.00048783670194829654,0.9984531301135209,0.720168894780535,0.0,0.0,4.2898084006080346e-05,0.0,0.0
2015-02-19,0.0003614542181302749,0.9988140252090059,0.7245434938495312,0.0,0.0,4.3093838080352406e-05,0.0,0.0
2015-02-20,-0.0005104572809062624,0.9983041733175666,0.7192118220915746,0.0,0.0,4.2784835992550836e-05,0.0,0.0
2015-02-23,0.00014625826845526824,0.9984501835573476,0.7098972447420296,0.0,0.0,4.226854076325746e-05,0.0,0.0
2015-02-24,-0.0004115536321944724,0.9980392677577393,0.7154027358827365,0.0,0.0,4.2641036156975126e-05,0.0,0.0
2015-02-25,0.0005215367038657881,0.9985597818677743,0.7259790648290132,0.0,0.0,4.32343602627294e-05,0.0,0.0
2015-02-26,0.00013966856009783868,0.9986992492746795,0.7415559895855712,0.0,0.0,4.416082279689141e-05,0.0,0.0
2015-02-27,0.00022193062196551594,0.9989208912202274,0.745553937796794,0.0,0.0,4.435634752270829e-05,0.0,0.0
2015-03-02,-0.00046388092519966673,0.9984575108730069,0.7627551075230147,0.0,0.0,4.531051052105036e-05,0.0,0.0
2015-03-03,0.001094709273778971,0.9995505315696339,0.0,0.7619184446882811,0.0003809592223441405,0.0,0.0,0.0
2015-03-04,0.0,0.9995505315696339,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-05,0.0,0.9995505315696339,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-06,0.0,0.9995505315696339,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-09,0.0,0.9995505315696339,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-10,0.0,0.9995505315696339,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-11,0.0,0.9995505315696339,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-12,0.0,0.9995505315696339,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-13,0.0,0.9995505315696339,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-16,0.0,0.9995505315696339,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-17,0.0,0.9995505315696339,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-18,0.0,0.9995505315696339,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-19,0.0,0.9995505315696339,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-20,0.0,0.9995505315696339,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-23,0.0,0.9995505315696339,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-24,0.0,0.9995505315696339,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-25,0.0,0.9995505315696339,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-26,0.0,0.9995505315696339,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-27,0.0,0.9995505315696339,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-30,0.0,0.9995505315696339,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,0.0,0.9995505315696339,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,0.0,0.9995505315696339,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-02,0.0,0.9995505315696339,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-06,0.0,0.9995505315696339,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-07,0.0,0.9995505315696339,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-08,0.0,0.9995505315696339,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-09,0.0,0.9995505315696339,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-10,0.0,0.9995505315696339,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-13,0.0,0.9995505315696339,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-14,0.0,0.9995505315696339,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-15,0.0,0.9995505315696339,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-16,0.002365781123669919,1.0019152493493755,0.6629775609007864,0.6664445184938353,0.0003332222592469177,3.9393310952732896e-05,0.0,0.0
2015-04-17,-0.0019073689566575514,1.0000042273055647,0.6535242269117518,0.0,0.0,3.8864001218062034e-05,0.0,0.0
2015-04-20,0.0014311058657976439,1.0014353392210842,0.6536372639196908,0.0,0.0,3.881574665485476e-05,0.0,0.0
2015-04-21,-2.8064561386931253e-05,1.0014072343775315,0.6481962700389816,0.0,0.0,3.849934953324968e-05,0.0,0.0
2015-04-22,-0.0004625506331389362,1.0009440328272403,0.6505977359734944,0.0,0.0,3.856969263495614e-05,0.0,0.0
2015-04-23,-0.0010911436560290255,0.9998518590957808,0.6523619631284303,0.0,0.0,3.87859464530269e-05,0.0,0.0
2015-04-24,-3.628249590648114e-05,0.999815581974796,0.6511237326797336,0.0,0.0,3.871224042630969e-05,0.0,0.0
2015-04-27,-4.205026141967938e-05,0.9997735394682026,0.6528337186751307,0.0,0.0,3.877343314988445e-05,0.0,0.0
2015-04-28,0.0001391721705481519,0.999912680121747,0.6693554850809039,0.0,0.0,3.973571055973246e-05,0.0,0.0
2015-04-29,0.0003964131548805927,1.0003090586618792,0.6611015386111241,0.0,0.0,3.928677190031921e-05,0.0,0.0
2015-04-30,0.0016465938397896007,1.0019561613957577,0.657912942091256,0.0,0.0,3.902906123547522e-05,0.0,0.0
2015-05-01,-0.001953643369185243,0.9999986963848326,0.6724516722449486,0.0,0.0,3.9874819798088854e-05,0.0,0.0
2015-05-04,-0.0005710131695896292,0.9994276839596244,1.348067563665993,0.6664445184938352,0.00033322225924691765,8.008067552008825e-05,0.0,0.0
2015-05-05,-0.00031593640702898274,0.999111928368069,1.3300595029713227,0.0,0.0,7.924189627200629e-05,0.0,0.0
2015-05-06,0.00032801010402816466,0.9994396471756288,1.277808110122248,0.0,0.0,7.63834536166096e-05,0.0,0.0
2015-05-07,-0.0006963362422232056,0.9987437011273856,1.2865125641184818,0.0,0.0,7.655187798775396e-05,0.0,0.0
2015-05-08,0.0001730095952550137,0.9989164933708812,1.3025052747086072,0.0,0.0,7.750970759728704e-05,0.0,0.0
2015-05-11,0.0017108734172406326,1.0006255130454327,1.3192866469494648,0.0,0.0,7.847448249631861e-05,0.0,0.0
2015-05-12,0.0011471402780220963,1.0017733708746637,1.293235574873831,0.0,0.0,7.695563276698037e-05,0.0,0.0
2015-05-13,-0.0003802815896355449,1.0013924149047329,1.290976145870519,0.0,0.0,7.668982650364677e-05,0.0,0.0
2015-05-14,0.0013662941259067196,1.0027606114789447,1.3040569922894771,0.0,0.0,7.731025898002862e-05,0.0,0.0
2015-05-15,-0.0012642057497356252,1.0014929157483046,1.3079759349209819,0.0,0.0,7.764452653352798e-05,0.0,0.0
2015-05-18,0.0005278663944183748,1.0020215702027762,1.31021099692202,0.0,0.0,7.761365896680022e-05,0.0,0.0
2015-05-19,0.00013456117473631402,1.0021564034023738,0.6636744036867585,0.652313586945788,0.000326156793472894,3.952354165357966e-05,0.0,0.0
2015-05-20,-0.0008100995664139798,1.0013445569344985,0.6673453941797759,0.0,0.0,3.9729790577694196e-05,0.0,0.0
2015-05-21,-0.0006354097665234315,1.0007082928233673,0.6723747132063179,0.0,0.0,4.003654423544528e-05,0.0,0.0
2015-05-22,-0.00014001628109561182,1.0005681773697446,0.6695987456945756,0.0,0.0,3.9921928087550814e-05,0.0,0.0
2015-05-26,-0.00042662297593831777,1.0001413119962859,0.660626891893478,0.0,0.0,3.9400480371231964e-05,0.0,0.0
2015-05-27,0.0003127980013051257,1.000454154199701,0.6693137311010975,0.0,0.0,3.994769021848078e-05,0.0,0.0
2015-05-28,-3.8245854844243254e-06,1.000450327877265,0.6692677691877466,0.0,0.0,3.993891573800895e-05,0.0,0.0
2015-05-29,0.0005731863467515197,1.0010237723458073,0.6587841277366153,0.0,0.0,3.930349746383897e-05,0.0,0.0
2015-06-01,-0.0012283136572108777,0.9997942011750423,0.6631130763974815,0.0,0.0,3.949272658447003e-05,0.0,0.0
2015-06-02,0.0003051600324706083,1.0000992984059367,0.668992018802458,0.0,0.0,3.989899593166782e-05,0.0,0.0
2015-06-03,-0.0001512524917973712,0.9999480308950079,0.6706038798526702,0.0,0.0,4.0009902545861774e-05,0.0,0.0
2015-06-04,-9.635202954005884e-05,0.9998516838727967,0.6662541193887799,0.0,0.0,3.973478120587868e-05,0.0,0.0
2015-06-05,-0.0008191215298150034,0.9990326838319147,0.6634034227751877,0.0,0.0,3.961104731134e-05,0.0,0.0
2015-06-08,-0.0004028545696954655,0.9986302189499578,0.6559745608104168,0.0,0.0,3.919359548444622e-05,0.0,0.0
2015-06-09,0.0006739528950334694,0.999303248677087,0.6546465790975496,0.0,0.0,3.909266357816207e-05,0.0,0.0
2015-06-10,-0.0001661722113832642,0.9991371922464118,0.6672755639071651,0.0,0.0,3.985758836379825e-05,0.0,0.0
2015-06-11,0.00022194027768884794,0.9993589410323083,0.6642886478175748,0.0,0.0,3.966287180053621e-05,0.0,0.0
2015-06-12,0.00010417468711865219,0.9994630489373095,0.6612509275677644,0.0,0.0,3.947058072386035e-05,0.0,0.0
2015-06-15,-0.0005105902661269868,0.9989527328331685,0.6557013037068194,0.0,0.0,3.9132394197218715e-05,0.0,0.0
2015-06-16,-0.0004815273465254011,0.9984717097744231,0.0,0.6574421495797121,0.0003287210747898561,0.0,0.0,0.0
2015-06-17,-0.0011631456986932465,0.9973103416999322,0.6678730171570532,0.6664445184938353,0.0003332222592469177,3.975513998984108e-05,0.0,0.0
2015-06-18,-0.0011925774245235,0.996120971901177,0.6792503683513706,0.0,0.0,4.048929036875846e-05,0.0,0.0
2015-06-19,-0.000886485075041632,0.9952379255266506,0.6806491044844545,0.0,0.0,4.0641215686682306e-05,0.0,0.0
2015-06-22,-0.0004175531788011,0.9948223607671836,0.6832055573659556,0.0,0.0,4.081127734068822e-05,0.0,0.0
2015-06-23,-0.0008692075237139996,0.9939576536864458,0.6875248481409117,0.0,0.0,4.109174246746682e-05,0.0,0.0
2015-06-24,0.0012479843859942719,0.9951980973185861,0.6820462104356866,0.0,0.0,4.079983603515865e-05,0.0,0.0
2015-06-25,-0.0013090281591696673,0.993895354985244,0.6809091475981138,0.0,0.0,4.073082578709061e-05,0.0,0.0
2015-06-26,0.0007222226019298894,0.9946131686745674,0.6751816833838706,0.0,0.0,4.0401985411864684e-05,0.0,0.0
2015-06-29,0.0007772595465256327,0.9953862412550197,0.6609981566320191,0.0,0.0,3.9532626172401026e-05,0.0,0.0
2015-06-30,6.434570535884809e-05,0.9954502900848178,0.6595764091264676,0.0,0.0,3.938055698676741e-05,0.0,0.0
2015-07-01,-0.0011975479744530393,0.994258190606258,0.663208112711005,0.0,0.0,3.961738664750075e-05,0.0,0.0
2015-07-02,-0.001532522771954481,0.9927344672879517,0.6676961966681465,0.0,0.0,4.0032266024647696e-05,0.0,0.0
2015-07-06,0.0006751855104190074,0.993404747215958,0.6658478178774139,0.0,0.0,3.9886927282592315e-05,0.0,0.0
2015-07-07,-0.0013817545159371392,0.992032105720339,0.6708494022295646,0.0,0.0,4.0246522595385654e-05,0.0,0.0
2015-07-08,-0.00010621289627743558,0.9919267391171902,0.6606085101661219,0.0,0.0,3.9646223187132275e-05,0.0,0.0
2015-07-09,0.0005853919857481404,0.9925074050807188,0.6644731874210392,0.0,0.0,3.98862038095353e-05,0.0,0.0
2015-07-10,-0.001099984201459625,0.9914156626152983,0.6782470215830124,0.0,0.0,4.0772071004146134e-05,0.0,0.0
2015-07-13,0.0007566624280337386,0.9921658295977636,0.6977393923069445,0.0,0.0,4.189344682967391e-05,0.0,0.0
2015-07-14,0.001519685502921586,0.9936736096254974,0.7135266545452565,0.0,0.0,4.2825671590780205e-05,0.0,0.0
2015-07-15,-0.00046429050169427555,0.993212256406764,0.7131660815705919,0.0,0.0,4.2692142617301836e-05,0.0,0.0
2015-07-16,0.0014332280720477097,0.9946357560941481,0.7354786090419199,0.0,0.0,4.4013527075626925e-05,0.0,0.0
2015-07-17,-0.001239655118406402,0.993402750788156,0.8553613974665881,0.0,0.0,5.130018855843175e-05,0.0,0.0
2015-07-20,-0.0021570979323153328,0.9912598837684745,0.8467548885035407,0.0,0.0,5.075655069657419e-05,0.0,0.0
2015-07-21,-0.00205215843732387,0.9892256614344184,0.8495863292998311,0.0,0.0,5.094464691634625e-05,0.0,0.0
2015-07-22,-2.384186373505237e-05,0.9892020764509952,0.8493253337280096,0.0,0.0,5.1032179130080874e-05,0.0,0.0
2015-07-23,0.0011897170067902696,0.9903789469845011,0.8244606174426259,0.0,0.0,4.946107418959179e-05,0.0,0.0
2015-07-24,-0.0009030484903093106,0.9894845867715927,0.7997394918685674,0.0,0.0,4.79891289171531e-05,0.0,0.0
2015-07-27,0.0001440825667160528,0.9896271542505808,0.8041316069796643,0.0,0.0,4.829519888222879e-05,0.0,0.0
2015-07-28,-0.00043526703398300004,0.9891964021744011,0.8058091675236072,0.0,0.0,4.833997613117652e-05,0.0,0.0
2015-07-29,0.001357134118199932,0.9905388743613927,0.8083006249641324,0.0,0.0,4.861121212816552e-05,0.0,0.0
2015-07-30,0.0008301930017691195,0.9913612128028677,0.0,0.803628394812789,0.0004018141974063945,0.0,0.0,0.0
