signal,mech,data_src,pp,mean_pct_mo,sr_gross,sr_net_base,sr_lc_gross,lc_version,months
Accruals,M4,accounting,12.0000,-0.0734,-0.1372,-0.3241,0.2448,q5_vw,120
AccrualsBM,M6,accounting,12.0000,0.7257,0.4146,0.3574,0.2168,me_gt_nyse20,120
AnalystRevision,M4,analyst,1.0000,0.0993,0.2184,-0.4417,0.6308,q5_vw,120
AnnouncementReturn,M4,price,1.0000,0.3474,0.5694,0.0777,0.3020,q5_vw,120
BM,M6,accounting,12.0000,0.1448,0.0788,0.0244,-0.0755,q5_vw,120
BMdec,M6,accounting,12.0000,0.3441,0.3613,0.2563,-0.5801,q5_vw,120
ChangeInRecommendation,M4,analyst,1.0000,0.2464,0.4875,-0.1062,0.0522,q5_vw,120
ChInv,M6,accounting,12.0000,0.1930,0.3375,0.1626,-0.3205,q5_vw,120
ChInvIA,M6,accounting,12.0000,-0.2223,-0.3067,-0.4446,0.1364,q5_vw,120
CompEquIss,M4,accounting,1.0000,0.3087,0.4713,0.0133,0.5515,q5_vw,120
CompositeDebtIssuance,M4,accounting,12.0000,0.1895,0.3980,0.1880,-0.3570,q5_vw,120
CoskewACX,M6,price,1.0000,0.1788,0.1911,-0.1295,0.1017,q5_vw,120
CPVolSpread,M1,options,1.0000,0.3126,0.5681,0.0229,0.5681,q5_vw,97
DelEqu,M6,accounting,12.0000,0.3477,0.3811,0.2715,0.1614,q5_vw,120
DelFINL,M4,accounting,12.0000,0.0224,0.0451,-0.1568,-0.5893,q5_vw,120
DelLTI,M6,accounting,12.0000,0.1523,0.4118,0.1414,0.4283,q5_vw,120
DivYieldST,M6,accounting,,0.2522,0.5326,-0.1010,0.2322,me_gt_nyse20,120
dNoa,M6,accounting,1.0000,0.0831,0.1483,-0.3871,0.0601,q5_vw,120
EarningsSurprise,M4,accounting,1.0000,0.0353,0.0622,-0.4670,-0.0073,q5_vw,120
EP,M6,accounting,1.0000,0.2690,0.2528,-0.0291,0.2801,q5_vw,120
ExchSwitch,M2,event,1.0000,0.8365,0.6095,0.3909,0.5985,me_gt_nyse20,120
Frontier,M6,accounting,12.0000,0.3517,0.1719,0.1230,-0.4861,q5_vw,120
IndIPO,M4,event,1.0000,0.2971,0.3404,-0.0034,0.5065,me_gt_nyse20,120
IndMom,M4,price,6.0000,0.0521,0.0630,-0.0579,-0.0779,q5_vw,120
IndRetBig,M5,price,1.0000,0.2145,0.2138,-0.0852,-0.0775,q5_vw,120
LRreversal,M6,price,1.0000,-0.2711,-0.1744,-0.3674,0.0632,q5_vw,120
MomOffSeason06YrPlus,M2,price,1.0000,0.1457,0.1253,-0.1327,0.7195,q5_vw,120
MomSeason06YrPlus,M2,price,1.0000,-0.3248,-0.2813,-0.5411,0.0727,q5_vw,120
MomSeason11YrPlus,M2,price,1.0000,0.0630,0.0720,-0.2710,-0.0485,q5_vw,120
MomSeason16YrPlus,M2,price,1.0000,0.3869,0.4824,0.1084,0.4353,q5_vw,120
MS,M4,accounting,1.0000,0.4096,0.4005,0.1072,0.5494,me_gt_nyse20,120
NetDebtFinance,M4,accounting,12.0000,0.2091,0.3269,0.1705,-0.2668,q5_vw,120
NetPayoutYield,M6,accounting,12.0000,1.7593,0.9638,0.9090,0.5903,q5_vw,120
PS,M4,accounting,1.0000,-0.5333,-0.2821,-0.4408,-0.3907,q5_vw,120
RD,M6,accounting,12.0000,-0.2961,-0.1806,-0.2416,-0.0945,q5_vw,120
REV6,M4,analyst,1.0000,0.5924,0.6171,0.3046,0.6394,q5_vw,120
ShareIss1Y,M4,accounting,12.0000,1.2164,0.8180,0.7507,0.4869,q5_vw,120
ShareIss5Y,M4,accounting,12.0000,1.1436,0.8819,0.8047,1.0498,q5_vw,120
Tax,M4,accounting,12.0000,0.3521,0.6285,0.4500,1.2137,q5_vw,120
XFIN,M4,accounting,12.0000,1.6704,0.9777,0.9192,0.5277,q5_vw,120
AdExp,M6,accounting,12.0000,-0.1182,-0.1008,-0.1860,-0.2391,q5_vw,120
AgeIPO,M4,event,1.0000,0.6640,0.3935,0.2157,0.4542,q5_vw,120
ConsRecomm,M4,analyst,1.0000,-0.2406,-0.2353,-0.5286,-0.2372,me_gt_nyse20,120
DebtIssuance,M4,accounting,1.0000,-0.0881,-0.1442,-0.6356,-0.1504,me_gt_nyse20,120
DownRecomm,M4,analyst,1.0000,0.1121,0.2981,-0.4997,0.3754,me_gt_nyse20,120
GrSaleToGrInv,M4,accounting,12.0000,-0.2382,-0.5169,-0.7340,-0.0144,q5_vw,120
IO_ShortInterest,M1,flows_holdings,1.0000,8.4292,0.8056,0.7770,0.5910,q5_vw,120
MRreversal,M6,price,12.0000,-0.0593,-0.0502,-0.1349,0.0321,q5_vw,120
OperProf,M6,accounting,12.0000,0.4011,0.4155,0.3119,0.6373,q5_vw,120
ShortInterest,M3,volume,1.0000,0.9602,0.7940,0.5459,0.1789,q5_vw,120
SP,M6,accounting,12.0000,0.8491,0.5646,0.4981,-0.2457,q5_vw,120
UpRecomm,M4,analyst,1.0000,0.1858,0.4286,-0.2634,0.2573,me_gt_nyse20,120
VolumeTrend,M3,volume,12.0000,0.4741,0.8893,0.7017,0.4262,q5_vw,120
