date,H1_gross,H1_net,H2_gross,H2_net,H3_gross,H3_net,H4_gross,H4_net,C0_gross,C0_net,C0_LC_gross,C0_LC_net,mkt_rf
2015-01-31,0.003421,0.001365,0.002548,0.000443,-0.002926,-0.004983,0.013783,0.011528,0.005567,0.003580,-0.006576,-0.008563,-0.030771
2015-02-28,-0.005094,-0.007151,-0.003801,-0.005914,-0.002763,-0.004819,-0.007222,-0.009469,-0.008188,-0.010176,-0.003520,-0.005507,0.061080
2015-03-31,0.000676,-0.001381,-0.002089,-0.004209,-0.003953,-0.006010,0.002820,0.000571,0.004741,0.002753,-0.000494,-0.002482,-0.011026
2015-04-30,0.003920,0.001863,0.001436,-0.000675,-0.006981,-0.009038,-0.003809,-0.006067,-0.006382,-0.008369,-0.007025,-0.009013,0.005906
2015-05-31,0.000083,-0.001973,-0.000837,-0.002945,0.000629,-0.001428,-0.002617,-0.004876,0.005964,0.003976,0.003000,0.001013,0.013590
2015-06-30,0.002918,0.000861,0.000931,-0.001171,0.003068,0.001011,0.008046,0.005789,0.005418,0.003431,0.003912,0.001925,-0.015125
2015-07-31,0.010131,0.008074,0.003537,0.001430,0.015228,0.013171,0.024050,0.021792,0.011943,0.009955,0.008697,0.006710,0.015936
2015-08-31,-0.004903,-0.006960,-0.000697,-0.002805,-0.003637,-0.005694,-0.008978,-0.011244,0.000937,-0.001051,-0.000429,-0.002417,-0.060482
2015-09-30,0.012789,0.010733,0.009788,0.007694,0.011195,0.009138,0.017875,0.015613,0.019432,0.017444,0.012614,0.010627,-0.030719
2015-10-31,-0.000625,-0.002681,0.001526,-0.000567,0.001290,-0.000767,-0.005891,-0.008157,-0.003010,-0.004997,-0.003270,-0.005257,0.077587
2015-11-30,-0.000940,-0.002997,-0.002761,-0.004849,0.001504,-0.000553,-0.004165,-0.006424,0.002847,0.000860,0.001378,-0.000610,0.005765
2015-12-31,0.003237,0.001181,0.003337,0.001244,0.004800,0.002744,0.007212,0.004949,0.008527,0.006539,0.005012,0.003025,-0.021157
2016-01-31,0.022796,0.020739,0.015831,0.013740,0.014901,0.012844,0.023287,0.021022,0.021683,0.019695,0.016309,0.014322,-0.057165
2016-02-29,0.010514,0.008457,0.006567,0.004466,0.008219,0.006163,0.014293,0.012025,0.002183,0.000196,0.001819,-0.000169,-0.000603
2016-03-31,0.002728,0.000671,0.000054,-0.002047,0.005040,0.002983,0.001144,-0.001124,-0.007997,-0.009985,0.000876,-0.001111,0.069605
2016-04-30,-0.004067,-0.006124,-0.005401,-0.007489,0.001327,-0.000730,-0.000516,-0.002789,-0.007270,-0.009257,-0.002501,-0.004488,0.008988
2016-05-31,0.001232,-0.000825,-0.001346,-0.003440,-0.002945,-0.005002,-0.000930,-0.003211,0.003941,0.001953,-0.001065,-0.003052,0.017719
2016-06-30,0.004144,0.002088,0.006260,0.004172,-0.003810,-0.005867,0.002952,0.000680,0.006899,0.004911,0.003237,0.001249,-0.000303
2016-07-31,0.002116,0.000060,0.002108,0.000021,-0.004098,-0.006154,-0.000180,-0.002454,0.000023,-0.001965,-0.003577,-0.005565,0.039483
2016-08-31,0.001352,-0.000704,0.000944,-0.001144,0.010072,0.008015,-0.002367,-0.004640,0.000665,-0.001323,0.005590,0.003603,0.004746
2016-09-30,-0.004258,-0.006314,-0.002795,-0.004876,-0.000519,-0.002576,-0.002690,-0.004957,-0.001913,-0.003900,-0.000257,-0.002245,0.002733
2016-10-31,0.016795,0.014739,0.011752,0.009670,0.013809,0.011752,0.015799,0.013530,0.011917,0.009930,0.009756,0.007768,-0.020202
2016-11-30,0.010925,0.008868,0.008052,0.005970,0.015194,0.013137,0.007401,0.005140,0.008654,0.006667,0.011973,0.009986,0.048600
2016-12-31,0.011536,0.009479,0.005458,0.003376,0.006237,0.004180,0.014454,0.012185,0.006741,0.004753,0.006752,0.004765,0.017973
2017-01-31,-0.000769,-0.002825,0.000494,-0.001586,-0.008624,-0.010681,0.000164,-0.002104,-0.000837,-0.002825,-0.008203,-0.010190,0.019571
