signal,Year,SampleEndYear,mech,data_src,cat_econ,pp,stock_weight,desc,t_ps,n_ps,mean_pub,n_pub,t_ps_lc,n_ps_lc,has_vw,c1_pub,c2_op_ps,c3_pub_pos,c4_lc_ps,selected,lc_version
AbnormalAccruals,2001,1992,M4,accounting,accruals,12.0000,EW,Abnormal Accruals,-0.3718,264,-0.0009,156,1.3922,264,True,True,False,False,True,False,q5_vw
Accruals,1996,1991,M4,accounting,accruals,12.0000,EW,Accruals,2.7533,276,0.0020,216,2.2981,276,True,True,True,True,True,True,q5_vw
AccrualsBM,2004,1998,M6,accounting,valuation,12.0000,EW,Book-to-market and accruals,4.1093,192,0.0107,120,1.8347,192,False,True,True,True,True,True,me_gt_nyse20
Activism1,2005,2001,M1,flows_holdings,other,1.0000,VW,Takeover vulnerability,-0.2864,62,0.0015,14,-0.2199,62,True,True,False,False,False,False,q5_vw
AM,1992,1990,M6,accounting,valuation,12.0000,EW,Total assets to market,1.8903,288,0.0051,264,1.3763,288,True,True,False,True,True,False,q5_vw
AnalystRevision,1984,1980,M4,analyst,earnings forecast,1.0000,EW,EPS forecast revision,8.5603,408,0.0068,360,6.7581,408,True,True,True,True,True,True,q5_vw
AnnouncementReturn,1996,1992,M4,price,earnings event,1.0000,EW,Earnings announcement return,9.6824,264,0.0105,216,6.2274,264,True,True,True,True,True,True,q5_vw
AssetGrowth,2008,2003,M6,accounting,investment,12.0000,EW,Asset growth,1.2452,132,0.0100,72,1.8174,132,True,True,False,True,True,False,q5_vw
BetaLiquidityPS,2003,1999,M3,price,liquidity,12.0000,VW,Pastor-Stambaugh liquidity beta,1.8446,180,0.0032,132,1.6168,180,True,True,False,True,True,False,q5_vw
BetaTailRisk,2014,2010,M6,price,risk,12.0000,EW,Tail risk beta,-0.4259,48,,0,-0.6820,48,True,False,False,False,False,False,q5_vw
betaVIX,2006,2000,M3,price,volatility,1.0000,VW,Systematic volatility,0.9371,168,0.0012,96,0.8665,168,True,True,False,True,False,False,q5_vw
BM,1980,1976,M6,accounting,valuation,12.0000,EW,"Book to market, original (Stattman 1980)",4.1003,456,0.0075,408,3.4617,456,True,True,True,True,True,True,q5_vw
BMdec,1992,1990,M6,accounting,valuation,12.0000,EW,Book to market using December ME,3.5708,288,0.0074,264,1.4060,288,True,True,True,True,True,True,q5_vw
BookLeverage,1992,1990,M6,accounting,leverage,12.0000,EW,Book leverage (annual),0.3447,288,0.0014,264,-1.2166,288,True,True,False,True,False,False,q5_vw
BPEBM,2007,2001,M6,accounting,leverage,12.0000,EW,Leverage component of BM,-0.1806,156,0.0006,84,-0.0766,156,True,True,False,True,False,False,q5_vw
Cash,2012,2009,M6,accounting,asset composition,1.0000,EW,Cash to assets,0.0655,60,0.0052,24,0.3799,60,True,False,False,False,False,False,q5_vw
CashProd,2009,2003,M6,accounting,profitability alt,1.0000,EW,Cash Productivity,-0.0212,132,0.0018,60,-0.0612,132,True,True,False,True,False,False,q5_vw
CBOperProf,2016,2014,M6,accounting,profitability,12.0000,VW,Cash-based operating profitability,,0,,0,,0,True,False,False,False,False,False,q5_vw
CF,1994,1990,M6,accounting,valuation,12.0000,EW,Cash flow to market,0.9921,288,0.0046,240,1.4744,288,True,True,False,True,True,False,q5_vw
cfp,2004,1997,M6,accounting,valuation,12.0000,EW,Operating Cash flows to price,0.7678,204,0.0074,120,1.7601,204,True,True,False,True,True,False,q5_vw
ChangeInRecommendation,2004,1998,M4,analyst,recommendation,1.0000,EW,Change in recommendation,5.8322,192,0.0027,120,3.8338,192,True,True,True,True,True,True,q5_vw
ChAssetTurnover,2008,2002,M4,accounting,sales growth,12.0000,EW,Change in Asset Turnover,0.6209,144,0.0001,72,-0.1811,144,True,True,False,True,False,False,q5_vw
ChEQ,2010,2007,M6,accounting,investment,12.0000,EW,Growth in book equity,1.5529,84,0.0022,48,2.1255,84,True,False,False,True,True,False,q5_vw
