ticker,avg_dollar_volume,n_bars
MU,47453609958.44372,62
NVDA,30473202324.596184,62
SNDK,21791727620.830513,62
AAPL,17224158184.540485,62
MSFT,16702126406.226078,62
TSLA,16409159394.055372,62
AMD,15082520423.980467,62
INTC,13511868412.253784,62
AMZN,12485053260.79409,62
GOOGL,11762273780.090431,62
META,10895556988.457365,62
MRVL,10444597937.434214,62
AVGO,10334778701.835928,62
GOOG,7968435721.790043,62
PLTR,5990534152.728025,62
AMAT,5289392212.000004,62
ORCL,5072946420.645486,62
WDC,4760191217.50316,62
LITE,4471755205.353669,62
STX,4183916699.405793,62
LRCX,3921557283.2069645,62
QCOM,3535813571.3534694,62
DELL,3501052834.031185,62
LLY,3425942614.1231413,62
NFLX,3266131968.655063,62
CAT,2969714079.0653353,62
JPM,2940226145.6828947,62
NOW,2937465648.0117674,62
CSCO,2890933501.4538794,62
GEV,2876735582.6683784,62
IBM,2833715666.634246,62
KLAC,2820663738.1617393,62
V,2792668915.616386,62
WMT,2749850658.6194067,62
APP,2739700731.0005436,62
GLW,2610598725.1737533,62
CRM,2596785723.1895447,62
TXN,2530205596.873671,62
HOOD,2488604182.263934,62
UNH,2436558669.9938865,62
BRK-B,2396192737.599576,62
XOM,2366863103.54282,62
PANW,2347268599.472907,62
COST,2283890107.8959804,62
GS,2246366481.6964426,62
COHR,2085457698.161759,62
CRWD,2052685355.4822614,62
BAC,2004039811.070387,62
JNJ,1991081667.1142087,62
SMCI,1928241491.0382426,62
ADI,1886275894.6471677,62
VRT,1874550458.2118127,62
MA,1831232626.0067356,62
INTU,1637688529.1608257,62
CVX,1635826613.786685,62
TER,1625211798.4493132,62
C,1623326740.31676,62
ABBV,1614890710.345709,61
GE,1529370072.9584231,62
HD,1511615865.9396265,62
UBER,1488202750.9233782,62
ADBE,1481468183.4222856,62
KO,1463240725.9674811,62
ANET,1440645057.3647776,62
T,1439579472.15183,62
MPWR,1336184195.2134655,62
BA,1320400125.1022093,62
DDOG,1306699221.8634083,62
APH,1304351583.7607968,62
COIN,1300204885.9558845,62
BKNG,1293419141.0176184,62
PG,1292929664.8832998,62
CIEN,1278457803.780291,62
WFC,1277995745.6538908,62
ACN,1260974746.9873245,62
HPE,1259627155.648613,62
MCD,1258975774.0808794,62
MRK,1253820058.1443417,62
MS,1247519222.2626224,62
VZ,1238192164.817761,62
PEP,1237552856.333382,62
ISRG,1217765578.2034104,62
ON,1202741691.4231086,62
NXPI,1186045522.611409,62
LIN,1172094726.5637305,62
TMO,1155603007.768397,62
ABT,1134283170.3977768,62
HON,1074594382.8670032,62
